Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
FBgn0000008	400	5	70
FBgn0000014	400	25	40
FBgn0000015	400	44	30
FBgn0000017	400	30	40
FBgn0000018	400	20	50
FBgn0000022	400	26	40
FBgn0000024	400	16	50
FBgn0000028	400	15	50
FBgn0000032	400	6	70
FBgn0000036	400	12	60
FBgn0000037	400	3	80
FBgn0000038	400	10	60
FBgn0000039	400	3	80
FBgn0000042	400	311	10
FBgn0000043	400	296	10
FBgn0000044	400	322	10
FBgn0000045	400	21	40
FBgn0000046	400	21	40
FBgn0000047	400	12	60
FBgn0000052	400	15	50
FBgn0000053	400	21	40
FBgn0000054	400	49	30
FBgn0000055	400	350	10
FBgn0000057	400	8	60
FBgn0000061	400	8	60
FBgn0000063	400	63	20
FBgn0000064	400	58	30
FBgn0000071	400	7	70
FBgn0000075	400	10	60
FBgn0000077	400	3	80
FBgn0000078	400	4	80
FBgn0000079	400	5	70
FBgn0000083	400	2	90
FBgn0000094	400	32	40
FBgn0000097	400	55	30
FBgn0000099	400	26	40
FBgn0000100	400	154	10
FBgn0000108	400	36	30
FBgn0000109	400	119	20
FBgn0000114	400	22	40
FBgn0000115	400	17	50
FBgn0000116	400	11	60
FBgn0000117	400	170	10
FBgn0000119	400	30	40
FBgn0000120	400	26	40
FBgn0000121	400	36	30
FBgn0000137	400	47	30
FBgn0000139	400	43	30
FBgn0000140	400	351	10
FBgn0000142	400	63	20
FBgn0000146	400	311	10
FBgn0000147	400	127	20
FBgn0000150	400	450	10
FBgn0000152	400	10	60
FBgn0000153	400	45	30
FBgn0000157	400	15	50
FBgn0000158	400	23	40
FBgn0000163	400	49	30
FBgn0000166	400	72	20
FBgn0000171	400	288	10
FBgn0000173	400	11	60
FBgn0000179	400	32	40
FBgn0000180	400	33	30
FBgn0000181	400	373	10
FBgn0000182	400	50	30
FBgn0000183	400	31	40
FBgn0000206	400	20	50
FBgn0000210	400	29	40
FBgn0000212	400	82	20
FBgn0000216	400	41	30
FBgn0000221	400	19	50
FBgn0000227	400	4	80
FBgn0000228	400	3	80
FBgn0000229	400	46	30
FBgn0000233	400	6	70
FBgn0000239	400	164	10
FBgn0000241	400	21	40
FBgn0000242	400	19	50
FBgn0000244	400	13	60
FBgn0000246	400	20	50
FBgn0000247	400	13	60
FBgn0000250	400	28	40
FBgn0000251	400	5	70
FBgn0000253	400	306	10
FBgn0000256	400	16	50
FBgn0000257	400	15	50
FBgn0000258	400	35	30
FBgn0000259	400	18	50
FBgn0000261	400	22	40
FBgn0000273	400	42	30
FBgn0000274	400	57	30
FBgn0000276	400	14	50
FBgn0000278	400	1	90
FBgn0000283	400	355	10
FBgn0000286	400	3	80
FBgn0000287	400	9	60
FBgn0000289	400	11	60
FBgn0000299	400	13	60
FBgn0000303	400	14	50
FBgn0000307	400	34	30
FBgn0000308	400	40	30
FBgn0000313	400	15	50
FBgn0000316	400	3	80
FBgn0000317	400	25	40
FBgn0000318	400	43	30
FBgn0000319	400	49	30
FBgn0000320	400	22	40
FBgn0000326	400	30	40
FBgn0000330	400	26	40
FBgn0000337	400	9	60
FBgn0000338	400	11	60
FBgn0000339	400	14	50
FBgn0000346	400	31	40
FBgn0000351	400	25	40
FBgn0000352	400	20	50
FBgn0000355	400	17	50
FBgn0000356	400	24	40
FBgn0000357	400	31	40
FBgn0000358	400	23	40
FBgn0000359	400	30	40
FBgn0000360	400	20	50
FBgn0000363	400	2	90
FBgn0000370	400	16	50
FBgn0000376	400	22	40
FBgn0000377	400	37	30
FBgn0000382	400	39	30
FBgn0000384	400	88	20
FBgn0000392	400	367	10
FBgn0000394	400	11	60
FBgn0000395	400	21	40
FBgn0000404	400	239	10
FBgn0000405	400	261	10
