Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
WBGene00000001	400	50	20
WBGene00000004	400	7	60
WBGene00000010	400	1	90
WBGene00000016	400	2	80
WBGene00000018	400	41	30
WBGene00000024	400	11	50
WBGene00000029	400	62	20
WBGene00000030	400	100	20
WBGene00000031	400	21	40
WBGene00000032	400	16	40
WBGene00000033	400	31	30
WBGene00000034	400	51	20
WBGene00000035	400	2	80
WBGene00000036	400	2	80
WBGene00000038	400	2	80
WBGene00000039	400	56	20
WBGene00000040	400	43	30
WBGene00000041	400	49	30
WBGene00000044	400	3	70
WBGene00000047	400	2	80
WBGene00000051	400	2	80
WBGene00000064	400	6	60
WBGene00000066	400	41	30
WBGene00000067	400	41	30
WBGene00000067	400	54	20
WBGene00000068	400	39	30
WBGene00000069	400	3	70
WBGene00000070	400	1	90
WBGene00000071	400	3	70
WBGene00000072	400	5	60
WBGene00000073	400	2	80
WBGene00000074	400	1	90
WBGene00000079	400	3	70
WBGene00000080	400	41	30
WBGene00000081	400	6	60
WBGene00000082	400	7	60
WBGene00000083	400	6	60
WBGene00000084	400	2	80
WBGene00000085	400	2	80
WBGene00000086	400	7	60
WBGene00000088	400	2	80
WBGene00000089	400	4	70
WBGene00000090	400	31	30
WBGene00000092	400	1	90
WBGene00000093	400	29	30
WBGene00000095	400	6	60
WBGene00000096	400	6	60
WBGene00000098	400	154	10
WBGene00000099	400	34	30
WBGene00000100	400	14	50
WBGene00000101	400	15	50
WBGene00000102	400	136	10
WBGene00000103	400	30	30
WBGene00000105	400	24	40
WBGene00000106	400	67	20
WBGene00000107	400	50	20
WBGene00000108	400	38	30
WBGene00000109	400	6	60
WBGene00000110	400	4	70
WBGene00000111	400	19	40
WBGene00000112	400	37	30
WBGene00000113	400	16	40
WBGene00000114	400	25	40
WBGene00000115	400	40	30
WBGene00000116	400	1	90
WBGene00000117	400	5	60
WBGene00000118	400	65	20
WBGene00000120	400	165	10
WBGene00000121	400	329	10
WBGene00000122	400	100	20
WBGene00000123	400	264	10
WBGene00000133	400	2	80
WBGene00000134	400	1	90
WBGene00000136	400	11	50
WBGene00000140	400	1	90
WBGene00000142	400	240	10
WBGene00000143	400	33	30
WBGene00000144	400	280	10
WBGene00000145	400	9	50
WBGene00000146	400	1	90
WBGene00000147	400	3	70
WBGene00000148	400	3	70
WBGene00000149	400	42	30
WBGene00000150	400	5	60
WBGene00000151	400	34	30
WBGene00000155	400	57	20
WBGene00000156	400	59	20
WBGene00000157	400	11	50
WBGene00000158	400	4	70
WBGene00000159	400	9	50
WBGene00000160	400	16	40
WBGene00000161	400	44	30
WBGene00000162	400	3	70
WBGene00000163	400	2	80
WBGene00000164	400	5	60
WBGene00000165	400	3	70
WBGene00000166	400	3	70
WBGene00000168	400	3	70
WBGene00000169	400	31	30
WBGene00000170	400	16	40
