Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSMUSG00000000001	400	123	10
ENSMUSG00000000003	400	16	60
ENSMUSG00000000028	400	97	10
ENSMUSG00000000037	400	3	80
ENSMUSG00000000049	400	66	20
ENSMUSG00000000056	400	2	90
ENSMUSG00000000058	400	26	40
ENSMUSG00000000078	400	51	30
ENSMUSG00000000085	400	19	50
ENSMUSG00000000088	400	111	10
ENSMUSG00000000093	400	184	10
ENSMUSG00000000094	400	19	50
ENSMUSG00000000103	400	10	70
ENSMUSG00000000120	400	115	10
ENSMUSG00000000125	400	72	20
ENSMUSG00000000126	400	40	30
ENSMUSG00000000127	400	33	40
ENSMUSG00000000134	400	153	10
ENSMUSG00000000142	400	110	10
ENSMUSG00000000149	400	56	20
ENSMUSG00000000154	400	29	40
ENSMUSG00000000157	400	48	30
ENSMUSG00000000159	400	28	40
ENSMUSG00000000168	400	91	10
ENSMUSG00000000171	400	92	10
ENSMUSG00000000182	400	61	20
ENSMUSG00000000183	400	51	30
ENSMUSG00000000184	400	95	10
ENSMUSG00000000197	400	6	80
ENSMUSG00000000204	400	12	60
ENSMUSG00000000214	400	93	10
ENSMUSG00000000215	400	144	10
ENSMUSG00000000216	400	28	40
ENSMUSG00000000223	400	2	90
ENSMUSG00000000244	400	14	60
ENSMUSG00000000247	400	29	40
ENSMUSG00000000248	400	1	100
ENSMUSG00000000253	400	51	30
ENSMUSG00000000263	400	15	60
ENSMUSG00000000266	400	9	70
ENSMUSG00000000275	400	21	50
ENSMUSG00000000276	400	38	30
ENSMUSG00000000278	400	36	40
ENSMUSG00000000282	400	33	40
ENSMUSG00000000290	400	90	10
ENSMUSG00000000295	400	1	100
ENSMUSG00000000296	400	10	70
ENSMUSG00000000301	400	45	30
ENSMUSG00000000303	400	186	10
ENSMUSG00000000305	400	33	40
ENSMUSG00000000308	400	10	70
ENSMUSG00000000317	400	8	70
ENSMUSG00000000318	400	4	80
ENSMUSG00000000320	400	70	20
ENSMUSG00000000325	400	10	70
ENSMUSG00000000326	400	68	20
ENSMUSG00000000339	400	23	50
ENSMUSG00000000340	400	39	30
ENSMUSG00000000346	400	140	10
ENSMUSG00000000359	400	11	60
ENSMUSG00000000365	400	14	60
ENSMUSG00000000374	400	5	80
ENSMUSG00000000378	400	21	50
ENSMUSG00000000381	400	42	30
ENSMUSG00000000384	400	7	70
ENSMUSG00000000385	400	35	40
ENSMUSG00000000386	400	52	30
ENSMUSG00000000392	400	10	70
ENSMUSG00000000394	400	134	10
ENSMUSG00000000399	400	166	10
ENSMUSG00000000409	400	79	20
ENSMUSG00000000411	400	1	100
ENSMUSG00000000416	400	7	70
ENSMUSG00000000420	400	8	70
ENSMUSG00000000435	400	70	20
ENSMUSG00000000439	400	1	100
ENSMUSG00000000440	400	263	10
ENSMUSG00000000441	400	111	10
ENSMUSG00000000486	400	2	90
ENSMUSG00000000489	400	73	20
ENSMUSG00000000530	400	39	30
ENSMUSG00000000531	400	12	60
ENSMUSG00000000532	400	53	30
ENSMUSG00000000538	400	1	100
ENSMUSG00000000544	400	5	80
ENSMUSG00000000552	400	13	60
ENSMUSG00000000555	400	95	10
ENSMUSG00000000560	400	16	60
ENSMUSG00000000561	400	44	30
ENSMUSG00000000563	400	75	20
ENSMUSG00000000567	400	121	10
ENSMUSG00000000568	400	118	10
ENSMUSG00000000581	400	42	30
ENSMUSG00000000594	400	11	60
ENSMUSG00000000600	400	72	20
ENSMUSG00000000605	400	7	70
ENSMUSG00000000617	400	57	20
ENSMUSG00000000627	400	22	50
ENSMUSG00000000628	400	100	10
ENSMUSG00000000631	400	8	70
ENSMUSG00000000673	400	48	30
ENSMUSG00000000682	400	36	40
ENSMUSG00000000686	400	22	50
ENSMUSG00000000690	400	19	50
ENSMUSG00000000693	400	7	70
ENSMUSG00000000701	400	2	90
ENSMUSG00000000706	400	4	80
ENSMUSG00000000708	400	9	70
ENSMUSG00000000708	400	31	40
ENSMUSG00000000711	400	8	70
ENSMUSG00000000724	400	46	30
ENSMUSG00000000730	400	39	30
ENSMUSG00000000731	400	42	30
ENSMUSG00000000732	400	37	30
ENSMUSG00000000738	400	66	20
ENSMUSG00000000739	400	16	60
ENSMUSG00000000740	400	61	20
ENSMUSG00000000743	400	5	80
ENSMUSG00000000751	400	143	10
ENSMUSG00000000753	400	55	20
ENSMUSG00000000759	400	65	20
ENSMUSG00000000766	400	47	30
ENSMUSG00000000776	400	83	20
ENSMUSG00000000782	400	62	20
ENSMUSG00000000787	400	33	40
ENSMUSG00000000791	400	59	20
ENSMUSG00000000792	400	27	40
ENSMUSG00000000794	400	4	80
ENSMUSG00000000805	400	26	40
ENSMUSG00000000811	400	6	80
ENSMUSG00000000817	400	115	10
ENSMUSG00000000826	400	24	50
ENSMUSG00000000827	400	18	50
ENSMUSG00000000838	400	43	30
ENSMUSG00000000861	400	24	50
ENSMUSG00000000869	400	55	20
ENSMUSG00000000876	400	2	90
ENSMUSG00000000881	400	25	40
ENSMUSG00000000884	400	27	40
ENSMUSG00000000889	400	50	30
ENSMUSG00000000901	400	35	40
ENSMUSG00000000902	400	44	30
ENSMUSG00000000903	400	4	80
ENSMUSG00000000915	400	15	60
ENSMUSG00000000916	400	32	40
ENSMUSG00000000938	400	19	50
ENSMUSG00000000938	400	191	10
ENSMUSG00000000942	400	10	70
ENSMUSG00000000948	400	10	70
ENSMUSG00000000948	400	33	40
ENSMUSG00000000957	400	42	30
ENSMUSG00000000958	400	5	80
ENSMUSG00000000959	400	19	50
ENSMUSG00000000982	400	30	40
ENSMUSG00000000983	400	34	40
ENSMUSG00000001014	400	11	60
ENSMUSG00000001016	400	47	30
ENSMUSG00000001017	400	46	30
ENSMUSG00000001018	400	27	40
ENSMUSG00000001020	400	35	40
ENSMUSG00000001021	400	7	70
ENSMUSG00000001023	400	27	40
ENSMUSG00000001025	400	48	30
ENSMUSG00000001027	400	20	50
ENSMUSG00000001029	400	27	40
ENSMUSG00000001034	400	44	30
ENSMUSG00000001036	400	16	60
ENSMUSG00000001052	400	16	60
ENSMUSG00000001056	400	162	10
ENSMUSG00000001065	400	14	60
ENSMUSG00000001076	400	1	100
ENSMUSG00000001089	400	1	100
ENSMUSG00000001095	400	18	50
ENSMUSG00000001098	400	5	80
ENSMUSG00000001100	400	9	70
ENSMUSG00000001105	400	16	60
ENSMUSG00000001119	400	81	20
ENSMUSG00000001120	400	5	80
ENSMUSG00000001123	400	33	40
ENSMUSG00000001127	400	38	30
ENSMUSG00000001128	400	30	40
ENSMUSG00000001131	400	81	20
ENSMUSG00000001134	400	55	20
ENSMUSG00000001138	400	2	90
ENSMUSG00000001150	400	13	60
ENSMUSG00000001151	400	86	20
ENSMUSG00000001155	400	32	40
ENSMUSG00000001156	400	48	30
ENSMUSG00000001157	400	3	80
ENSMUSG00000001158	400	3	80
ENSMUSG00000001173	400	66	20
ENSMUSG00000001175	400	174	10
ENSMUSG00000001211	400	26	40
ENSMUSG00000001225	400	33	40
ENSMUSG00000001227	400	28	40
ENSMUSG00000001228	400	99	10
ENSMUSG00000001229	400	6	80
ENSMUSG00000001240	400	14	60
ENSMUSG00000001247	400	13	60
ENSMUSG00000001249	400	23	50
ENSMUSG00000001260	400	15	60
ENSMUSG00000001270	400	12	60
ENSMUSG00000001280	400	222	10
ENSMUSG00000001281	400	112	10
ENSMUSG00000001285	400	67	20
ENSMUSG00000001288	400	218	10
ENSMUSG00000001289	400	72	20
ENSMUSG00000001300	400	58	20
ENSMUSG00000001305	400	12	60
ENSMUSG00000001313	400	11	60
ENSMUSG00000001323	400	26	40
ENSMUSG00000001333	400	10	70
ENSMUSG00000001334	400	29	40
ENSMUSG00000001348	400	31	40
ENSMUSG00000001349	400	24	50
ENSMUSG00000001366	400	23	50
ENSMUSG00000001376	400	1	100
ENSMUSG00000001379	400	10	70
ENSMUSG00000001380	400	11	60
ENSMUSG00000001383	400	3	80
ENSMUSG00000001403	400	70	20
ENSMUSG00000001415	400	11	60
ENSMUSG00000001416	400	57	20
ENSMUSG00000001417	400	4	80
ENSMUSG00000001418	400	14	60
ENSMUSG00000001419	400	46	30
ENSMUSG00000001424	400	16	60
ENSMUSG00000001435	400	35	40
ENSMUSG00000001436	400	8	70
ENSMUSG00000001440	400	72	20
ENSMUSG00000001441	400	13	60
ENSMUSG00000001444	400	75	20
ENSMUSG00000001445	400	9	70
ENSMUSG00000001467	400	48	30
ENSMUSG00000001472	400	10	70
ENSMUSG00000001482	400	41	30
ENSMUSG00000001493	400	54	20
ENSMUSG00000001494	400	53	30
ENSMUSG00000001496	400	218	10
ENSMUSG00000001497	400	195	10
ENSMUSG00000001504	400	24	50
ENSMUSG00000001506	400	132	10
ENSMUSG00000001507	400	125	10
ENSMUSG00000001508	400	27	40
ENSMUSG00000001510	400	47	30
ENSMUSG00000001517	400	102	10
ENSMUSG00000001520	400	4	80
ENSMUSG00000001521	400	20	50
ENSMUSG00000001524	400	83	20
ENSMUSG00000001542	400	8	70
ENSMUSG00000001552	400	81	20
ENSMUSG00000001555	400	3	80
ENSMUSG00000001558	400	1	100
ENSMUSG00000001566	400	27	40
ENSMUSG00000001569	400	6	80
ENSMUSG00000001576	400	5	80
ENSMUSG00000001583	400	6	80
ENSMUSG00000001588	400	8	70
ENSMUSG00000001604	400	2	90
ENSMUSG00000001622	400	17	50
ENSMUSG00000001627	400	39	30
ENSMUSG00000001630	400	3	80
ENSMUSG00000001632	400	6	80
ENSMUSG00000001642	400	61	20
ENSMUSG00000001655	400	19	50
ENSMUSG00000001656	400	14	60
ENSMUSG00000001657	400	36	40
ENSMUSG00000001661	400	8	70
ENSMUSG00000001663	400	93	10
ENSMUSG00000001665	400	8	70
ENSMUSG00000001666	400	48	30
ENSMUSG00000001670	400	57	20
ENSMUSG00000001672	400	2	90
ENSMUSG00000001674	400	54	20
ENSMUSG00000001687	400	3	80
ENSMUSG00000001707	400	10	70
ENSMUSG00000001729	400	378	10
ENSMUSG00000001739	400	29	40
ENSMUSG00000001741	400	63	20
ENSMUSG00000001750	400	35	40
ENSMUSG00000001751	400	16	60
ENSMUSG00000001755	400	12	60
ENSMUSG00000001761	400	71	20
ENSMUSG00000001763	400	1	100
ENSMUSG00000001767	400	22	50
ENSMUSG00000001768	400	8	70
ENSMUSG00000001773	400	7	70
ENSMUSG00000001774	400	20	50
ENSMUSG00000001783	400	21	50
ENSMUSG00000001785	400	80	20
ENSMUSG00000001786	400	28	40
ENSMUSG00000001794	400	22	50
ENSMUSG00000001804	400	9	70
ENSMUSG00000001815	400	8	70
ENSMUSG00000001819	400	55	20
ENSMUSG00000001823	400	156	10
ENSMUSG00000001827	400	37	30
ENSMUSG00000001829	400	11	60
ENSMUSG00000001833	400	70	20
ENSMUSG00000001844	400	1	100
ENSMUSG00000001847	400	349	10
ENSMUSG00000001855	400	92	10
ENSMUSG00000001865	400	23	50
ENSMUSG00000001870	400	12	60
ENSMUSG00000001891	400	42	30
ENSMUSG00000001909	400	66	20
ENSMUSG00000001910	400	34	40
ENSMUSG00000001911	400	28	40
ENSMUSG00000001918	400	21	50
ENSMUSG00000001924	400	49	30
ENSMUSG00000001930	400	115	10
ENSMUSG00000001942	400	10	70
ENSMUSG00000001943	400	1	100
ENSMUSG00000001946	400	40	30
ENSMUSG00000001948	400	34	40
ENSMUSG00000001964	400	51	30
ENSMUSG00000001983	400	51	30
ENSMUSG00000001985	400	2	90
ENSMUSG00000001986	400	28	40
ENSMUSG00000001988	400	25	40
