Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSDARG00000000068	400	21	30
ENSDARG00000000069	400	9	50
ENSDARG00000000086	400	9	50
ENSDARG00000000151	400	2	80
ENSDARG00000000212	400	21	30
ENSDARG00000000229	400	1	90
ENSDARG00000000241	400	9	50
ENSDARG00000000380	400	1	90
ENSDARG00000000472	400	10	40
ENSDARG00000000476	400	6	60
ENSDARG00000000489	400	8	50
ENSDARG00000000503	400	10	40
ENSDARG00000000516	400	3	70
ENSDARG00000000529	400	6	60
ENSDARG00000000540	400	3	70
ENSDARG00000000542	400	24	30
ENSDARG00000000568	400	3	70
ENSDARG00000000631	400	9	50
ENSDARG00000000651	400	16	30
ENSDARG00000000656	400	13	40
ENSDARG00000000690	400	156	10
ENSDARG00000000767	400	28	20
ENSDARG00000000796	400	4	60
ENSDARG00000000853	400	2	80
ENSDARG00000000857	400	51	10
ENSDARG00000000861	400	11	40
ENSDARG00000000943	400	14	40
ENSDARG00000000966	400	4	60
ENSDARG00000001014	400	5	60
ENSDARG00000001057	400	137	10
ENSDARG00000001129	400	10	60
ENSDARG00000001169	400	27	20
ENSDARG00000001220	400	9	50
ENSDARG00000001234	400	3	70
ENSDARG00000001241	400	4	60
ENSDARG00000001249	400	6	60
ENSDARG00000001303	400	25	20
ENSDARG00000001431	400	34	20
ENSDARG00000001437	400	8	50
ENSDARG00000001442	400	25	20
ENSDARG00000001452	400	2	80
ENSDARG00000001463	400	1	90
ENSDARG00000001557	400	2	80
ENSDARG00000001558	400	20	30
ENSDARG00000001578	400	31	20
ENSDARG00000001656	400	14	40
ENSDARG00000001712	400	6	60
ENSDARG00000001721	400	1	90
ENSDARG00000001754	400	66	10
ENSDARG00000001771	400	2	80
ENSDARG00000001777	400	23	30
ENSDARG00000001782	400	51	10
ENSDARG00000001785	400	1	90
ENSDARG00000001788	400	78	10
ENSDARG00000001804	400	3	70
ENSDARG00000001807	400	1	90
ENSDARG00000001835	400	1	90
ENSDARG00000001870	400	36	20
ENSDARG00000001873	400	7	50
ENSDARG00000001880	400	10	40
ENSDARG00000001889	400	24	30
ENSDARG00000001910	400	1	90
ENSDARG00000001929	400	9	50
ENSDARG00000001940	400	3	70
ENSDARG00000001950	400	59	10
ENSDARG00000001969	400	1	90
ENSDARG00000001993	400	5	60
ENSDARG00000001994	400	1	90
ENSDARG00000002006	400	1	90
ENSDARG00000002020	400	5	60
ENSDARG00000002021	400	20	30
ENSDARG00000002031	400	1	90
ENSDARG00000002060	400	4	60
ENSDARG00000002071	400	48	10
ENSDARG00000002077	400	21	30
ENSDARG00000002082	400	12	40
ENSDARG00000002127	400	6	60
ENSDARG00000002128	400	1	90
ENSDARG00000002167	400	8	50
ENSDARG00000002168	400	4	60
ENSDARG00000002184	400	1	90
ENSDARG00000002190	400	3	70
ENSDARG00000002192	400	10	40
ENSDARG00000002193	400	19	30
ENSDARG00000002194	400	16	30
ENSDARG00000002197	400	26	20
ENSDARG00000002213	400	5	60
ENSDARG00000002215	400	9	50
ENSDARG00000002216	400	23	30
ENSDARG00000002219	400	1	90
ENSDARG00000002230	400	5	60
ENSDARG00000002231	400	47	10
ENSDARG00000002235	400	5	60
ENSDARG00000002240	400	30	20
ENSDARG00000002255	400	3	70
ENSDARG00000002264	400	45	20
ENSDARG00000002267	400	118	10
ENSDARG00000002299	400	1	90
ENSDARG00000002300	400	2	80
ENSDARG00000002304	400	37	20
ENSDARG00000002305	400	27	20
ENSDARG00000002330	400	5	60
ENSDARG00000002336	400	24	30
ENSDARG00000002339	400	6	60
ENSDARG00000002344	400	34	20
ENSDARG00000002347	400	11.5	40
ENSDARG00000002355	400	2	80
ENSDARG00000002365	400	11	40
ENSDARG00000002369	400	4	60
ENSDARG00000002385	400	3	70
ENSDARG00000002402	400	55	10
ENSDARG00000002403	400	26	20
ENSDARG00000002445	400	17	30
ENSDARG00000002479	400	1	90
ENSDARG00000002487	400	29	20
ENSDARG00000002494	400	71	10
ENSDARG00000002523	400	17	30
ENSDARG00000002538	400	2	80
ENSDARG00000002549	400	55	10
ENSDARG00000002552	400	9	50
ENSDARG00000002587	400	3	70
ENSDARG00000002589	400	13	40
ENSDARG00000002591	400	58	10
ENSDARG00000002593	400	1	90
ENSDARG00000002597	400	1	90
ENSDARG00000002600	400	1	90
ENSDARG00000002601	400	7	50
ENSDARG00000002613	400	56	10
ENSDARG00000002632	400	11	40
ENSDARG00000002642	400	27	20
ENSDARG00000002659	400	1	90
ENSDARG00000002663	400	2	80
ENSDARG00000002670	400	4	60
ENSDARG00000002696	400	5	60
ENSDARG00000002707	400	4	60
ENSDARG00000002710	400	46	20
ENSDARG00000002732	400	8	50
ENSDARG00000002745	400	2	80
ENSDARG00000002758	400	1	90
ENSDARG00000002760	400	8	50
ENSDARG00000002768	400	1	90
ENSDARG00000002779	400	10	40
ENSDARG00000002787	400	1	90
ENSDARG00000002791	400	2	80
ENSDARG00000002792	400	4	60
ENSDARG00000002795	400	8	50
ENSDARG00000002798	400	14	40
ENSDARG00000002816	400	34	20
ENSDARG00000002830	400	1	90
ENSDARG00000002877	400	4	60
ENSDARG00000002880	400	1	90
ENSDARG00000002894	400	1	90
ENSDARG00000002897	400	19	30
ENSDARG00000002909	400	8	50
ENSDARG00000002916	400	1	90
ENSDARG00000002933	400	10	40
ENSDARG00000002945	400	3	70
ENSDARG00000002947	400	1	90
ENSDARG00000002952	400	26	20
ENSDARG00000002967	400	5	60
ENSDARG00000002971	400	12	40
ENSDARG00000002986	400	26	20
ENSDARG00000002991	400	2	80
ENSDARG00000003008	400	11	40
ENSDARG00000003017	400	2	80
ENSDARG00000003027	400	1	90
ENSDARG00000003032	400	21	30
ENSDARG00000003035	400	62	10
ENSDARG00000003054	400	8	50
ENSDARG00000003058	400	7	50
ENSDARG00000003068	400	1	90
ENSDARG00000003087	400	6	60
ENSDARG00000003113	400	30	20
ENSDARG00000003132	400	5	60
ENSDARG00000003142	400	1	90
ENSDARG00000003151	400	63	10
ENSDARG00000003153	400	130	10
ENSDARG00000003167	400	21	30
ENSDARG00000003169	400	9	50
ENSDARG00000003175	400	8	50
ENSDARG00000003200	400	26	20
ENSDARG00000003205	400	66	10
ENSDARG00000003213	400	12	40
ENSDARG00000003216	400	3	70
ENSDARG00000003235	400	19	30
ENSDARG00000003250	400	81	10
ENSDARG00000003257	400	1	90
ENSDARG00000003259	400	6	60
ENSDARG00000003270	400	42	20
ENSDARG00000003287	400	131	10
ENSDARG00000003293	400	25	20
ENSDARG00000003307	400	8	50
ENSDARG00000003326	400	4	60
ENSDARG00000003344	400	1	90
ENSDARG00000003373	400	5	60
ENSDARG00000003383	400	2	80
ENSDARG00000003399	400	49	10
ENSDARG00000003411	400	33	20
ENSDARG00000003429	400	2	80
ENSDARG00000003486	400	117	10
ENSDARG00000003487	400	53	10
ENSDARG00000003495	400	6	60
ENSDARG00000003517	400	19	30
ENSDARG00000003519	400	96	10
ENSDARG00000003526	400	53	10
ENSDARG00000003527	400	69	10
ENSDARG00000003553	400	9	50
ENSDARG00000003564	400	77	10
ENSDARG00000003570	400	6	60
ENSDARG00000003573	400	1	90
ENSDARG00000003584	400	12	40
ENSDARG00000003592	400	18	30
ENSDARG00000003599	400	164	10
ENSDARG00000003641	400	3	70
ENSDARG00000003642	400	1	90
ENSDARG00000003675	400	6	60
ENSDARG00000003680	400	1	90
ENSDARG00000003681	400	75	10
ENSDARG00000003693	400	74	10
ENSDARG00000003699	400	5	60
ENSDARG00000003701	400	38	20
ENSDARG00000003732	400	16	30
ENSDARG00000003749	400	11	40
ENSDARG00000003750	400	9	50
ENSDARG00000003757	400	2	80
ENSDARG00000003769	400	5	60
ENSDARG00000003776	400	37	20
ENSDARG00000003789	400	4	60
ENSDARG00000003795	400	23	30
ENSDARG00000003803	400	9	50
ENSDARG00000003808	400	21	30
ENSDARG00000003811	400	6	60
ENSDARG00000003818	400	38	20
ENSDARG00000003820	400	1	90
ENSDARG00000003827	400	2	80
ENSDARG00000003841	400	3	70
ENSDARG00000003845	400	111	10
ENSDARG00000003865	400	8	50
ENSDARG00000003866	400	17	30
ENSDARG00000003877	400	12	40
ENSDARG00000003920	400	8	50
