Ensembl.Gene.ID	Embryo0.2h	Embryo2.4h	Embryo4.6h	Embryo6.8h	Embryo8.10h	Embryo10.12h	Embryo12.14h	Embryo14.16h	Embryo16.18h	Embryo18.20h	Embryo20.22h	Embryo22.24h	L1	L2	L3.12h	L3PS1.2	L3PS3.6	L3PS7.9	Prepupae	Prepupae.12h	Prepupae.24h	Prepupae.2d	Prepupae.3d	Prepupae.4d	Mean.1d	Mean.5d	Mean.30d
FBgn0031208	0.0958033	0.718974	1.0725	0.647684	0.381323	0.19218	0.538157	0.495993	0.642496	0.431127	0.112168	0.20806	0.206073	0.175318	0.168106	1.70754	3.79982	5.19242	4.49271	6.91041	10.7934	12.7517	10.8446	7.20562	6.906263	8.6585582	8.5352505
FBgn0002121	63.0636	100.153	127.647	88.2904	78.5995	37.1784	99.2423	63.9712	107.779	62.2623	38.8722	52.1241	15.572	27.3588	20.7324	21.8557	30.6638	30.7878	31.9132	25.678	33.6545	21.7474	18.0552	9.01892	16.9966	33.3584	27.8671
FBgn0031209	0.435707	0.35312	0.199833	0.15603	0.262727	0.377068	0.612841	0.742403	1.31234	1.16276	0.608997	1.21761	0.399798	0.721666	0.634335	0.819771	1.27354	1.58236	1.28849	1.06177	1.04008	1.38594	1.79264	0.63035	0.7928955	0.7986815	0.698302
FBgn0051973	0.272395	1.19928	2.51211	2.65792	2.6982	2.51223	9.2587	24.4603	56.4575	48.1116	17.5166	22.5138	7.34327	16.2088	19.7037	3.22886	4.89686	3.76479	1.88309	125.927	16.1307	58.3119	137.723	29.7552	18.9446	4.16987	3.76139
FBgn0067779	20.5255	16.8658	19.3642	14.0363	15.6306	11.6967	24.2847	12.6609	15.1685	10.363	16.2056	19.3185	3.92296	6.5684	4.43481	6.26696	11.127	15.0827	14.5112	14.85	19.9867	21.7589	9.45049	6.2655	6.55365	12.23737	10.854905
FBgn0031213	36.0389	8.03877	2.70138	1.81531	3.63011	5.43861	18.6277	21.6837	40.5175	33.5209	31.1619	48.7409	23.023	21.9697	25.3523	41.2411	50.5218	60.6357	36.9202	37.3236	34.9082	40.8107	52.3292	27.5451	30.19995	36.61795	33.9801
FBgn0031214	0	0	0.0803851	0.0409864	0.0665685	0.127691	0.364511	0.292506	0.926782	0.628125	0.438132	0.970743	0.463214	0.284754	0.254489	0.530016	0.928108	1.18167	0.918969	0.988384	1.42176	1.59024	1.26363	0.381238	0.815032	0.7619035	0.7772065
FBgn0002931	0.511228	13.0116	18.6097	1.23149	2.59903	5.30722	5.16613	2.1513	1.76556	1.86479	1.87944	2.52514	1.28452	0.742385	0.939755	3.24046	5.21709	4.47377	2.95321	3.75948	4.51651	6.22901	5.97637	2.40652	2.637495	2.6164855	2.258665
FBgn0031216	11.7547	21.3233	34.501	23.4546	27.3334	13.2173	35.9716	10.0986	12.1103	7.03328	11.0942	14.7652	4.47215	4.51063	4.09472	4.84708	9.64796	16.9369	19.3516	19.88	21.945	14.42	7.76717	2.46276	4.58905	7.824085	6.342095
FBgn0031217	52.7131	12.804	38.6204	34.0144	34.9734	31.3516	25.8511	25.2423	22.3181	13.2136	6.70924	6.6115	20.238	41.9505	23.1475	15.4491	19.0375	23.6299	24.3381	20.2337	25.0197	18.0966	9.5696	8.86199	25.42615	33.24265	35.18995
