Ensembl.Gene.ID	Mouse_E7.5	Mouse_E8.5	Mouse_E9.5	Mouse_E10.5	Mouse_E12.5	Mouse_E14.5	Mouse_E16.5	Mouse_E18.5
ENSMUSG00000000001	9.87	9.80166666666667	9.84666666666667	9.86	10.2925	9.92	10.46	9.875
ENSMUSG00000000003	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000000028	8.99333333333333	9.19	9.09666666666667	8.9	6.6	6.345	5.885	3.995
ENSMUSG00000000031	14.48	14.0733333333333	13.8733333333333	14.0633333333333	14.675	15.015	15.23	15.47
ENSMUSG00000000037	3.585	3.295	3.785	3.68666666666667	4.625	4.715	4.81	4.275
ENSMUSG00000000049	2.23	2.23	2.23	2.23	5.48	10.695	12.45	13.295
ENSMUSG00000000056	4.71777777777778	5.6	5.94222222222222	6.56888888888889	6.65833333333333	6.61166666666666	6.46833333333334	6.01
ENSMUSG00000000058	2.475	2.95833333333333	3.71666666666667	4.22166666666667	4.6275	5.1975	6.0025	6.6525
ENSMUSG00000000078	8.17833333333333	7.085	6.45416666666667	6.675	6.965	7.17625	7.4075	7.62875
ENSMUSG00000000085	3.56833333333333	3.85333333333333	3.67166666666667	3.69	5.9525	6.2425	5.4	5.74
ENSMUSG00000000088	13.2211111111111	13.0855555555556	13.1111111111111	13.1133333333333	12.905	12.8983333333334	13.04	13.6616666666667
ENSMUSG00000000093	2.28666666666667	3.38666666666667	4.82	7.17	6.2	4.89	4.855	4.84
ENSMUSG00000000094	5.20166666666667	5.365	4.81333333333333	4.77333333333333	4.1975	4.025	4.1125	3.8825
ENSMUSG00000000103	2.23	2.23	2.23	2.23	3.605	3.35	5.06	3.225
ENSMUSG00000000120	3.51222222222222	4.41444444444445	4.42888888888889	5.02666666666666	4.685	4.58166666666667	4.27	3.87
ENSMUSG00000000125	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000000126	2.53	2.59333333333333	2.88833333333333	3.03333333333333	3.0725	3.2925	3.2025	3.39
ENSMUSG00000000127	7.44	7.53333333333333	7.59833333333333	7.50166666666667	6.8825	6.72	7.025	7.15
ENSMUSG00000000131	10.1066666666667	10.0066666666667	9.90666666666667	9.64333333333333	8.67	8.435	7.895	7.905
ENSMUSG00000000134	8.84333333333333	8.00333333333333	7.71	7.69333333333333	6.615	6.03	6.305	6.09
ENSMUSG00000000142	6.37833333333333	6.71666666666667	6.24	6.305	5.485	5.0175	4.3325	4.28
ENSMUSG00000000148	4.1625	4.12166666666667	3.95416666666667	3.90666666666667	3.86875	3.79625	3.6225	3.54625
ENSMUSG00000000149	7.38222222222222	7.25	7.30444444444444	7.36777777777778	6.62833333333333	6.105	5.84666666666667	5.82
ENSMUSG00000000154	4.54	3.43833333333333	3.44333333333333	3.435	3.405	3.435	3.435	3.435
ENSMUSG00000000157	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.235
ENSMUSG00000000159	6.53666666666667	2.62333333333333	2.23666666666667	2.23	2.23	2.23	2.33	5.02
ENSMUSG00000000167	2.62333333333333	2.66666666666667	2.66	2.48	2.23	2.23	2.23	2.23
ENSMUSG00000000168	7.32	7.06083333333333	7.07083333333333	6.92083333333333	6.16875	6.29	6.7375	7.58625
ENSMUSG00000000171	10.705	10.385	10.3966666666667	10.385	10.07	10.1875	10.5075	11.0425
ENSMUSG00000000182	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000000184	9.42047619047619	10.8980952380952	11.0957142857143	11.1004761904762	11.005	10.6242857142857	10.0157142857143	9.72714285714286
ENSMUSG00000000194	7.16	7.04666666666667	6.80666666666667	6.83333333333333	5.5025	5.5375	5.5725	6.125
ENSMUSG00000000197	2.565	2.275	2.44666666666667	2.65666666666667	4.7825	5.5225	5.79	5.5975
ENSMUSG00000000202	2.23	2.23	2.59333333333333	3.59	2.26	2.23	2.23	2.23
ENSMUSG00000000204	2.23	2.23	2.23	2.23	2.23	2.23	2.23	6.66
