Ensembl.Gene.ID	Rank
ENSMUSG00000095030	8
ENSMUSG00000048299	8
ENSMUSG00000046041	8
ENSMUSG00000079299	8
ENSMUSG00000015962	8
ENSMUSG00000047207	8
ENSMUSG00000032679	8
ENSMUSG00000095247	8
ENSMUSG00000044897	8
ENSMUSG00000063867	8
ENSMUSG00000063715	8
ENSMUSG00000045421	8
ENSMUSG00000015396	8
ENSMUSG00000073888	8
ENSMUSG00000075161	8
ENSMUSG00000069971	8
ENSMUSG00000071494	8
ENSMUSG00000048292	8
ENSMUSG00000075146	8
ENSMUSG00000051258	8
ENSMUSG00000034071	8
ENSMUSG00000084897	8
ENSMUSG00000047969	8
ENSMUSG00000067545	8
ENSMUSG00000017049	8
ENSMUSG00000030154	8
ENSMUSG00000044292	8
ENSMUSG00000096596	8
ENSMUSG00000062121	8
ENSMUSG00000060878	8
ENSMUSG00000075156	8
ENSMUSG00000075148	8
ENSMUSG00000075150	8
ENSMUSG00000075171	8
ENSMUSG00000096858	8
ENSMUSG00000068646	8
ENSMUSG00000034913	8
ENSMUSG00000005267	8
ENSMUSG00000071065	8
ENSMUSG00000024223	8
ENSMUSG00000094065	8
ENSMUSG00000091636	8
ENSMUSG00000063106	8
ENSMUSG00000090018	8
ENSMUSG00000095586	8
ENSMUSG00000033467	8
ENSMUSG00000071230	8
ENSMUSG00000068686	8
ENSMUSG00000096537	8
ENSMUSG00000108827	8
ENSMUSG00000074943	8
ENSMUSG00000073877	8
ENSMUSG00000058638	8
ENSMUSG00000075210	8
ENSMUSG00000007589	8
ENSMUSG00000065952	8
ENSMUSG00000075212	8
ENSMUSG00000075215	8
ENSMUSG00000094747	8
ENSMUSG00000074955	8
ENSMUSG00000094121	8
ENSMUSG00000071909	8
ENSMUSG00000094734	8
ENSMUSG00000030325	8
ENSMUSG00000048197	8
ENSMUSG00000074951	8
ENSMUSG00000095696	8
ENSMUSG00000094891	8
ENSMUSG00000027776	8
ENSMUSG00000029075	8
ENSMUSG00000044213	8
ENSMUSG00000063549	8
ENSMUSG00000075155	8
ENSMUSG00000039349	8
ENSMUSG00000070354	8
ENSMUSG00000074966	8
ENSMUSG00000027072	8
ENSMUSG00000075154	8
ENSMUSG00000020940	8
ENSMUSG00000056853	8
ENSMUSG00000043331	8
ENSMUSG00000090486	8
ENSMUSG00000094686	8
ENSMUSG00000096393	8
ENSMUSG00000005465	8
ENSMUSG00000056498	8
ENSMUSG00000059762	8
ENSMUSG00000049011	8
ENSMUSG00000047150	8
ENSMUSG00000040751	8
ENSMUSG00000095377	8
ENSMUSG00000055991	8
ENSMUSG00000058099	8
ENSMUSG00000070908	8
ENSMUSG00000060747	8
ENSMUSG00000045474	8
ENSMUSG00000018479	8
ENSMUSG00000061387	8
ENSMUSG00000063386	8
ENSMUSG00000044061	8
ENSMUSG00000091601	8
ENSMUSG00000069824	8
ENSMUSG00000037872	8
ENSMUSG00000100713	8
ENSMUSG00000096000	8
ENSMUSG00000033883	8
ENSMUSG00000023905	8
ENSMUSG00000045004	8
ENSMUSG00000078657	8
ENSMUSG00000060512	8
ENSMUSG00000026258	8
ENSMUSG00000040592	8
ENSMUSG00000076480	8
ENSMUSG00000058932	8
ENSMUSG00000022598	8
ENSMUSG00000096463	8
ENSMUSG00000054690	8
ENSMUSG00000021590	8
ENSMUSG00000047352	8
ENSMUSG00000061246	8
ENSMUSG00000026009	8
ENSMUSG00000044876	8
ENSMUSG00000039196	8
ENSMUSG00000095075	8
ENSMUSG00000108167	8
ENSMUSG00000054940	8
ENSMUSG00000021850	8
ENSMUSG00000049894	8
ENSMUSG00000053559	8
ENSMUSG00000078624	8
ENSMUSG00000075214	8
ENSMUSG00000045202	8
ENSMUSG00000059864	8
ENSMUSG00000049052	8
ENSMUSG00000060254	8
ENSMUSG00000095270	8
ENSMUSG00000108277	8
ENSMUSG00000100923	8
ENSMUSG00000109531	8
ENSMUSG00000058174	8
ENSMUSG00000028359	8
ENSMUSG00000020690	8
ENSMUSG00000109033	8
ENSMUSG00000052415	8
ENSMUSG00000022347	8
ENSMUSG00000014776	8
ENSMUSG00000041750	8
ENSMUSG00000034382	8
ENSMUSG00000107872	8
ENSMUSG00000042800	8
ENSMUSG00000059366	8
