Ensembl.Gene.ID	Paralogs.Number
FBgn0000008	5
FBgn0000014	5
FBgn0000017	2
FBgn0000022	3
FBgn0000024	4
FBgn0000028	4
FBgn0000032	4
FBgn0000036	5
FBgn0000037	1
FBgn0000038	5
FBgn0000039	5
FBgn0000042	6
FBgn0000043	6
FBgn0000044	6
FBgn0000045	6
FBgn0000046	6
FBgn0000047	6
FBgn0000054	2
FBgn0000055	14
FBgn0000056	14
FBgn0000057	2
FBgn0000061	9
FBgn0000063	1
FBgn0000064	1
FBgn0000071	17
FBgn0000075	7
FBgn0000077	1
FBgn0000078	2
FBgn0000079	2
FBgn0000083	2
FBgn0000084	2
FBgn0000092	17
FBgn0000097	2
FBgn0000099	6
FBgn0000114	2
FBgn0000115	2
FBgn0000116	3
FBgn0000119	6
FBgn0000120	3
FBgn0000121	3
FBgn0000137	3
FBgn0000146	4
FBgn0000147	2
FBgn0000150	2
FBgn0000152	4
FBgn0000153	7
FBgn0000157	8
FBgn0000163	5
FBgn0000173	1
FBgn0000179	7
FBgn0000180	6
FBgn0000181	1
FBgn0000182	1
FBgn0000210	22
FBgn0000221	7
FBgn0000227	2
FBgn0000229	3
FBgn0000233	3
FBgn0000241	14
FBgn0000244	2
FBgn0000247	4
FBgn0000253	7
FBgn0000256	1
FBgn0000257	1
FBgn0000259	17
FBgn0000261	1
FBgn0000273	6
FBgn0000274	6
FBgn0000276	1
FBgn0000277	1
FBgn0000286	2
FBgn0000287	1
FBgn0000299	1
FBgn0000303	5
FBgn0000317	5
FBgn0000318	1
FBgn0000326	29
FBgn0000330	2
FBgn0000339	1
FBgn0000346	2
FBgn0000352	2
FBgn0000382	6
FBgn0000384	2
FBgn0000394	2
FBgn0000404	4
FBgn0000405	4
FBgn0000406	1
FBgn0000409	1
FBgn0000411	6
FBgn0000422	7
FBgn0000426	1
FBgn0000439	5
FBgn0000442	6
FBgn0000448	7
FBgn0000449	11
FBgn0000454	9
FBgn0000459	1
FBgn0000463	4
FBgn0000464	2
FBgn0000473	51
FBgn0000479	2
FBgn0000489	6
FBgn0000490	1
FBgn0000492	8
FBgn0000497	8
FBgn0000504	3
FBgn0000520	3
FBgn0000527	1
FBgn0000529	8
FBgn0000533	21
FBgn0000535	7
FBgn0000536	1
FBgn0000541	4
FBgn0000546	1
FBgn0000547	15
FBgn0000551	13
FBgn0000552	30
FBgn0000559	1
FBgn0000560	7
FBgn0000567	2
FBgn0000568	7
FBgn0000576	5
FBgn0000577	5
FBgn0000578	1
FBgn0000588	1
FBgn0000591	10
FBgn0000592	29
FBgn0000594	29
FBgn0000606	10
FBgn0000618	1
FBgn0000625	9
FBgn0000629	4
FBgn0000635	4
FBgn0000639	6
FBgn0000640	14
FBgn0000659	5
FBgn0000667	3
FBgn0000709	3
FBgn0000711	9
FBgn0000721	6
FBgn0000723	2
FBgn0000808	4
FBgn0000826	2
FBgn0000928	2
FBgn0000964	1
FBgn0001075	8
FBgn0001077	5
FBgn0001078	3
FBgn0001079	2
FBgn0001083	3
FBgn0001085	3
FBgn0001086	2
FBgn0001089	1
FBgn0001091	2
FBgn0001092	2
FBgn0001098	1
FBgn0001104	4
FBgn0001105	3
FBgn0001108	3
FBgn0001112	14
FBgn0001114	29
FBgn0001122	4
FBgn0001123	2
FBgn0001124	1
FBgn0001125	1
FBgn0001128	2
FBgn0001133	12
FBgn0001134	8
FBgn0001138	4
FBgn0001142	1
FBgn0001145	1
FBgn0001147	9
FBgn0001148	9
FBgn0001149	29
FBgn0001150	2
FBgn0001168	10
FBgn0001170	10
FBgn0001186	3
FBgn0001187	3
FBgn0001189	1
FBgn0001202	1
FBgn0001208	2
FBgn0001215	4
FBgn0001216	6
FBgn0001217	6
FBgn0001218	6
FBgn0001220	6
FBgn0001223	9
FBgn0001224	9
FBgn0001225	9
FBgn0001226	9
FBgn0001227	9
FBgn0001228	2
FBgn0001229	9
FBgn0001230	6
FBgn0001233	2
FBgn0001235	2
FBgn0001247	2
FBgn0001250	4
FBgn0001253	2
FBgn0001258	1
FBgn0001263	5
FBgn0001269	5
FBgn0001281	2
FBgn0001285	28
FBgn0001296	2
FBgn0001301	6
FBgn0001308	6
FBgn0001311	1
FBgn0001313	11
FBgn0001320	7
FBgn0001321	2
FBgn0001323	7
FBgn0001612	3
FBgn0001624	5
FBgn0001942	2
FBgn0001965	3
FBgn0001967	1
FBgn0001970	9
FBgn0001978	1
FBgn0001981	6
FBgn0001983	6
FBgn0001987	29
FBgn0001990	12
FBgn0001991	2
FBgn0001992	6
FBgn0002021	1
FBgn0002022	3
FBgn0002023	6
FBgn0002036	6
FBgn0002121	1
FBgn0002174	2
FBgn0002283	2
FBgn0002413	9
FBgn0002431	2
FBgn0002441	2
FBgn0002466	4
FBgn0002521	6
FBgn0002522	10
FBgn0002525	1
FBgn0002526	3
FBgn0002531	13
FBgn0002533	13
FBgn0002535	13
FBgn0002542	1
FBgn0002543	5
FBgn0002561	3
FBgn0002562	6
FBgn0002563	6
FBgn0002564	6
FBgn0002565	6
FBgn0002567	3
FBgn0002569	10
FBgn0002570	10
FBgn0002571	10
FBgn0002573	3
FBgn0002576	3
FBgn0002577	4
FBgn0002590	1
FBgn0002609	10
FBgn0002629	1
FBgn0002631	10
FBgn0002633	10
FBgn0002638	4
FBgn0002641	1
FBgn0002673	1
FBgn0002719	4
FBgn0002723	1
FBgn0002732	1
FBgn0002733	10
FBgn0002734	10
FBgn0002735	10
FBgn0002772	2
FBgn0002773	2
FBgn0002774	5
FBgn0002778	4
FBgn0002781	22
FBgn0002787	3
FBgn0002789	2
FBgn0002838	1
FBgn0002842	1
FBgn0002865	1
FBgn0002878	1
FBgn0002899	3
FBgn0002905	3
FBgn0002906	2
FBgn0002914	1
FBgn0002917	2
FBgn0002921	3
FBgn0002926	20
