Ensembl.Gene.ID	Paralogs.Number
ENSMUSG00000000001	11
ENSMUSG00000000003	6
ENSMUSG00000000037	9
ENSMUSG00000000049	10
ENSMUSG00000000056	1
ENSMUSG00000000058	2
ENSMUSG00000000078	12
ENSMUSG00000000085	9
ENSMUSG00000000093	12
ENSMUSG00000000094	12
ENSMUSG00000000103	4
ENSMUSG00000000120	1
ENSMUSG00000000125	13
ENSMUSG00000000126	4
ENSMUSG00000000127	8
ENSMUSG00000000134	3
ENSMUSG00000000142	1
ENSMUSG00000000149	3
ENSMUSG00000000154	1
ENSMUSG00000000157	9
ENSMUSG00000000168	2
ENSMUSG00000000182	2
ENSMUSG00000000183	13
ENSMUSG00000000184	10
ENSMUSG00000000194	1
ENSMUSG00000000197	8
ENSMUSG00000000202	1
ENSMUSG00000000204	7
ENSMUSG00000000214	3
ENSMUSG00000000215	1
ENSMUSG00000000216	7
ENSMUSG00000000223	5
ENSMUSG00000000247	11
ENSMUSG00000000248	8
ENSMUSG00000000253	3
ENSMUSG00000000263	13
ENSMUSG00000000266	12
ENSMUSG00000000275	5
ENSMUSG00000000276	9
ENSMUSG00000000278	1
ENSMUSG00000000290	9
ENSMUSG00000000296	3
ENSMUSG00000000303	15
ENSMUSG00000000305	15
ENSMUSG00000000308	3
ENSMUSG00000000317	1
ENSMUSG00000000318	23
ENSMUSG00000000320	6
ENSMUSG00000000325	7
ENSMUSG00000000326	1
ENSMUSG00000000339	1
ENSMUSG00000000340	2
ENSMUSG00000000355	1
ENSMUSG00000000359	12
ENSMUSG00000000365	3
ENSMUSG00000000378	1
ENSMUSG00000000384	2
ENSMUSG00000000385	15
ENSMUSG00000000386	4
ENSMUSG00000000392	5
ENSMUSG00000000402	3
ENSMUSG00000000409	12
ENSMUSG00000000411	5
ENSMUSG00000000416	4
ENSMUSG00000000420	16
ENSMUSG00000000435	3
ENSMUSG00000000439	2
ENSMUSG00000000440	7
ENSMUSG00000000441	13
ENSMUSG00000000486	12
ENSMUSG00000000489	1
ENSMUSG00000000530	11
ENSMUSG00000000531	1
ENSMUSG00000000532	11
ENSMUSG00000000538	4
ENSMUSG00000000544	8
ENSMUSG00000000552	2
ENSMUSG00000000555	18
ENSMUSG00000000560	9
ENSMUSG00000000562	5
ENSMUSG00000000567	15
ENSMUSG00000000568	10
ENSMUSG00000000579	4
ENSMUSG00000000600	1
ENSMUSG00000000605	8
ENSMUSG00000000606	20
ENSMUSG00000000617	11
ENSMUSG00000000627	12
ENSMUSG00000000628	4
ENSMUSG00000000631	1
ENSMUSG00000000632	11
ENSMUSG00000000686	2
ENSMUSG00000000690	14
ENSMUSG00000000693	7
ENSMUSG00000000701	6
ENSMUSG00000000706	17
ENSMUSG00000000708	7
ENSMUSG00000000711	8
ENSMUSG00000000724	13
ENSMUSG00000000730	2
ENSMUSG00000000731	4
ENSMUSG00000000738	2
ENSMUSG00000000739	19
ENSMUSG00000000740	1
ENSMUSG00000000743	1
ENSMUSG00000000753	27
ENSMUSG00000000759	2
ENSMUSG00000000766	13
ENSMUSG00000000782	3
ENSMUSG00000000787	4
ENSMUSG00000000792	12
ENSMUSG00000000794	3
ENSMUSG00000000804	6
ENSMUSG00000000805	13
ENSMUSG00000000811	3
ENSMUSG00000000817	4
ENSMUSG00000000823	1
ENSMUSG00000000826	13
ENSMUSG00000000827	3
ENSMUSG00000000838	2
ENSMUSG00000000861	2
ENSMUSG00000000881	12
ENSMUSG00000000889	2
ENSMUSG00000000901	16
ENSMUSG00000000903	5
ENSMUSG00000000915	4
ENSMUSG00000000916	1
ENSMUSG00000000934	1
ENSMUSG00000000938	15
ENSMUSG00000000942	14
ENSMUSG00000000948	1
ENSMUSG00000000957	16
ENSMUSG00000000958	9
ENSMUSG00000000959	1
ENSMUSG00000000982	5
ENSMUSG00000000983	1
ENSMUSG00000001014	4
ENSMUSG00000001016	4
ENSMUSG00000001020	11
ENSMUSG00000001021	11
ENSMUSG00000001023	11
ENSMUSG00000001025	11
ENSMUSG00000001027	12
ENSMUSG00000001029	4
ENSMUSG00000001034	5
ENSMUSG00000001036	4
ENSMUSG00000001039	1
ENSMUSG00000001052	3
ENSMUSG00000001053	3
ENSMUSG00000001054	1
ENSMUSG00000001065	3
ENSMUSG00000001076	10
ENSMUSG00000001089	4
ENSMUSG00000001095	4
ENSMUSG00000001098	4
ENSMUSG00000001103	12
ENSMUSG00000001119	5
ENSMUSG00000001120	7
ENSMUSG00000001123	8
ENSMUSG00000001127	13
ENSMUSG00000001128	13
ENSMUSG00000001131	3
ENSMUSG00000001138	3
ENSMUSG00000001143	3
ENSMUSG00000001150	1
ENSMUSG00000001151	1
ENSMUSG00000001156	3
ENSMUSG00000001157	28
ENSMUSG00000001166	11
ENSMUSG00000001168	11
ENSMUSG00000001173	8
ENSMUSG00000001175	12
ENSMUSG00000001211	3
ENSMUSG00000001225	10
ENSMUSG00000001227	6
ENSMUSG00000001228	1
ENSMUSG00000001229	5
ENSMUSG00000001240	2
ENSMUSG00000001247	2
ENSMUSG00000001248	4
ENSMUSG00000001249	15
ENSMUSG00000001260	9
ENSMUSG00000001270	3
ENSMUSG00000001280	14
ENSMUSG00000001281	9
ENSMUSG00000001288	14
ENSMUSG00000001300	2
ENSMUSG00000001313	11
ENSMUSG00000001334	1
ENSMUSG00000001349	5
ENSMUSG00000001380	1
ENSMUSG00000001403	1
ENSMUSG00000001415	2
ENSMUSG00000001419	4
ENSMUSG00000001435	1
ENSMUSG00000001436	2
ENSMUSG00000001441	6
ENSMUSG00000001444	3
ENSMUSG00000001467	3
ENSMUSG00000001473	8
ENSMUSG00000001482	4
ENSMUSG00000001493	19
ENSMUSG00000001494	1
ENSMUSG00000001496	21
ENSMUSG00000001497	8
ENSMUSG00000001504	6
ENSMUSG00000001506	16
ENSMUSG00000001507	18
ENSMUSG00000001508	1
ENSMUSG00000001510	21
ENSMUSG00000001517	4
ENSMUSG00000001520	2
ENSMUSG00000001521	8
ENSMUSG00000001525	8
ENSMUSG00000001542	4
ENSMUSG00000001552	1
ENSMUSG00000001555	5
ENSMUSG00000001558	12
ENSMUSG00000001566	19
ENSMUSG00000001576	2
ENSMUSG00000001583	13
ENSMUSG00000001588	11
ENSMUSG00000001604	3
ENSMUSG00000001627	1
ENSMUSG00000001630	10
ENSMUSG00000001632	8
ENSMUSG00000001642	15
ENSMUSG00000001655	15
ENSMUSG00000001656	15
ENSMUSG00000001657	14
ENSMUSG00000001661	14
ENSMUSG00000001663	4
ENSMUSG00000001665	4
ENSMUSG00000001666	1
ENSMUSG00000001670	2
ENSMUSG00000001700	4
ENSMUSG00000001729	13
ENSMUSG00000001739	4
ENSMUSG00000001741	7
ENSMUSG00000001750	3
ENSMUSG00000001761	15
ENSMUSG00000001763	11
ENSMUSG00000001768	3
ENSMUSG00000001773	5
ENSMUSG00000001774	1
ENSMUSG00000001794	5
ENSMUSG00000001802	3
ENSMUSG00000001804	15
ENSMUSG00000001815	19
ENSMUSG00000001819	15
ENSMUSG00000001823	15
ENSMUSG00000001827	2
ENSMUSG00000001833	12
ENSMUSG00000001844	2
ENSMUSG00000001847	9
ENSMUSG00000001864	1
ENSMUSG00000001865	7
ENSMUSG00000001870	11
ENSMUSG00000001901	17
ENSMUSG00000001909	1
ENSMUSG00000001910	11
ENSMUSG00000001911	3
