Ensembl.Gene.ID	omega0
ENSDARG00000061880	0.04042
ENSDARG00000053771	0.06023
ENSDARG00000018096	0.03583
ENSDARG00000023920	0.05167
ENSDARG00000009693	0.0416
ENSDARG00000002656	0.05321
ENSDARG00000029234	0.05236
ENSDARG00000006383	0.05277
ENSDARG00000057006	0.07689
ENSDARG00000061375	0.08676
ENSDARG00000059919	0.0865
ENSDARG00000042712	0.04446
ENSDARG00000087613	0.04446
ENSDARG00000043601	0.01355
ENSDARG00000007045	0.04028
ENSDARG00000045296	0.01263
ENSDARG00000067838	0.06814
ENSDARG00000036359	0.10329
ENSDARG00000074264	0.12827
ENSDARG00000078592	0.04433
ENSDARG00000053558	0.13428
ENSDARG00000031345	0.06577
ENSDARG00000056087	0.07708
ENSDARG00000012039	0.03794
ENSDARG00000063445	0.12583
ENSDARG00000073786	0.12433
ENSDARG00000068415	0.05559
ENSDARG00000068893	0.06176
ENSDARG00000079771	0.02189
ENSDARG00000087047	0.09617
ENSDARG00000089246	0.09617
ENSDARG00000091327	0.09617
ENSDARG00000037342	0.09759
ENSDARG00000040740	0.09759
ENSDARG00000079042	0.09744
ENSDARG00000086185	0.09759
ENSDARG00000070049	0.09759
ENSDARG00000086767	0.09759
ENSDARG00000041007	0.09759
ENSDARG00000070661	0.09767
ENSDARG00000068915	0.09767
ENSDARG00000074797	0.09748
ENSDARG00000075611	0.09748
ENSDARG00000009793	0.08787
ENSDARG00000074892	0.01275
ENSDARG00000041944	0.06439
ENSDARG00000025467	0.07129
ENSDARG00000041113	0.06761
ENSDARG00000051855	0.10264
ENSDARG00000069157	0.05583
ENSDARG00000056914	0.03553
ENSDARG00000038556	0.12059
ENSDARG00000074301	0.08194
ENSDARG00000032206	0.08194
ENSDARG00000030897	0.10021
ENSDARG00000068215	0.08395
ENSDARG00000030573	0.08259
ENSDARG00000063663	0.01564
ENSDARG00000089981	0.03766
ENSDARG00000078456	0.03155
ENSDARG00000010563	0.02754
ENSDARG00000076798	0.12625
ENSDARG00000077926	0.16312
ENSDARG00000004958	0.10104
ENSDARG00000031116	0.0199
ENSDARG00000088841	0.0199
ENSDARG00000005172	0.00598
ENSDARG00000069790	0.00585
ENSDARG00000021885	0.0593
ENSDARG00000045486	0.04071
ENSDARG00000006729	0.00608
ENSDARG00000014013	0.09436
ENSDARG00000032816	0.0651
ENSDARG00000015564	0.04995
ENSDARG00000038423	0.02134
ENSDARG00000078045	0.02134
ENSDARG00000025559	0.08255
ENSDARG00000037423	0.06364
ENSDARG00000069027	0.07933
ENSDARG00000060951	0.05293
ENSDARG00000062361	0.08899
ENSDARG00000061506	0.04888
ENSDARG00000060025	0.0492
ENSDARG00000078186	0.05976
ENSDARG00000040190	0.09945
ENSDARG00000070849	0.0156
ENSDARG00000063573	0.0333
ENSDARG00000042261	0.08163
ENSDARG00000036990	0.03891
ENSDARG00000024654	0.07353
ENSDARG00000018434	0.02923
ENSDARG00000090818	0.05568
ENSDARG00000019897	0.04036
ENSDARG00000006491	0.06483
ENSDARG00000016048	0.06539
ENSDARG00000003127	0.12973
ENSDARG00000078807	0.14026
ENSDARG00000079749	0.04336
ENSDARG00000038608	0.1223
ENSDARG00000068438	0.04771
ENSDARG00000063229	0.00923
ENSDARG00000078041	0.00816
ENSDARG00000002980	0.06488
ENSDARG00000013051	0.13886
ENSDARG00000058254	0.13886
ENSDARG00000095579	0.05302
ENSDARG00000045091	0.1358
ENSDARG00000040113	0.08392
ENSDARG00000056627	0.05561
ENSDARG00000010113	0.09203
ENSDARG00000091777	0.02472
ENSDARG00000033957	0.08378
ENSDARG00000055989	0.05195
ENSDARG00000012790	0.07192
ENSDARG00000044565	0.04293
ENSDARG00000003414	0.06148
ENSDARG00000077983	0.01907
ENSDARG00000007867	0.07212
ENSDARG00000022564	0.04996
ENSDARG00000043729	0.08322
ENSDARG00000094438	0.08322
ENSDARG00000004948	0.09565
ENSDARG00000054696	0.03848
ENSDARG00000068870	0.15545
ENSDARG00000061380	0.12609
ENSDARG00000012987	0.04879
ENSDARG00000005161	0.04868
ENSDARG00000017696	0.07846
ENSDARG00000045092	0.0713
ENSDARG00000038789	0.07921
ENSDARG00000054941	0.03436
ENSDARG00000059057	0.05184
ENSDARG00000039642	0.05191
ENSDARG00000027403	0.06231
ENSDARG00000009160	0.0876
ENSDARG00000078981	0.05149
ENSDARG00000075956	0.05122
ENSDARG00000015453	0.05506
ENSDARG00000086153	0.05506
ENSDARG00000054002	0.07981
ENSDARG00000029419	0.07981
ENSDARG00000071675	0.08311
ENSDARG00000071679	0.08311
ENSDARG00000058319	0.05667
ENSDARG00000079217	0.09543
ENSDARG00000023028	0.06609
ENSDARG00000055757	0.02352
ENSDARG00000025693	0.02702
ENSDARG00000060581	0.09338
ENSDARG00000062916	0.13595
ENSDARG00000014517	0.02812
ENSDARG00000079198	0.04926
ENSDARG00000027428	0.08143
ENSDARG00000007734	0.15179
ENSDARG00000038199	0.06911
ENSDARG00000036426	0.06651
ENSDARG00000079307	0.14653
ENSDARG00000017199	0.1055
ENSDARG00000077119	0.09274
ENSDARG00000040149	0.11831
ENSDARG00000060472	0.02113
ENSDARG00000059209	0.02824
ENSDARG00000058452	0.01693
ENSDARG00000014165	0.01371
ENSDARG00000087263	0.01371
ENSDARG00000079512	0.0435
ENSDARG00000026068	0.01409
ENSDARG00000024846	0.0435
ENSDARG00000068590	0.07361
ENSDARG00000013004	0.04098
ENSDARG00000086450	0.04149
ENSDARG00000007444	0.07073
ENSDARG00000007745	0.0696
ENSDARG00000077402	0.0696
ENSDARG00000039152	0.14909
ENSDARG00000009953	0.0386
ENSDARG00000076838	0.14134
ENSDARG00000068156	0.14663
ENSDARG00000032264	0.03954
ENSDARG00000030999	0.06362
ENSDARG00000020986	0.02404
ENSDARG00000040427	0.13398
ENSDARG00000089159	0.13297
ENSDARG00000045522	0.13297
ENSDARG00000069292	0.13297
ENSDARG00000088524	0.13297
ENSDARG00000033413	0.13297
ENSDARG00000042510	0.16714
ENSDARG00000042513	0.16714
ENSDARG00000058945	0.16714
ENSDARG00000041538	0.08958
ENSDARG00000040803	0.05995
ENSDARG00000061060	0.12532
ENSDARG00000067681	0.11542
ENSDARG00000075033	0.11139
ENSDARG00000071396	0.05037
ENSDARG00000095623	0.07935
ENSDARG00000013802	0.03424
ENSDARG00000020201	0.02131
ENSDARG00000058733	0.03115
ENSDARG00000058815	0.03148
ENSDARG00000068567	0.03139
ENSDARG00000079751	0.0264
ENSDARG00000062164	0.04303
ENSDARG00000077188	0.05466
ENSDARG00000006420	0.0546
ENSDARG00000068886	0.02829
ENSDARG00000063155	0.07554
ENSDARG00000069440	0.03515
ENSDARG00000062289	0.05416
ENSDARG00000079605	0.03164
ENSDARG00000041708	0.03069
ENSDARG00000062971	0.06184
ENSDARG00000036063	0.03834
ENSDARG00000079858	0.04208
ENSDARG00000088227	0.04257
ENSDARG00000077116	0.08125
ENSDARG00000067984	0.03895
ENSDARG00000077298	0.03865
ENSDARG00000067825	0.03944
ENSDARG00000039422	0.08187
ENSDARG00000071468	0.07129
ENSDARG00000038235	0.06606
ENSDARG00000001929	0.06858
ENSDARG00000075730	0.06751
ENSDARG00000033855	0.00441
ENSDARG00000034826	0.05218
ENSDARG00000073845	0.07124
ENSDARG00000052703	0.03694
ENSDARG00000088560	0.04664
ENSDARG00000087241	0.09072
ENSDARG00000051957	0.06436
ENSDARG00000061372	0.05974
ENSDARG00000044488	0.08847
