Ensembl.Gene.ID	omega0
FBgn0014380	0.02095
FBgn0039532	0.00789
FBgn0014011	0.00454
FBgn0010333	0.00464
FBgn0010341	0.00222
FBgn0014020	0.00276
FBgn0036980	0.01656
FBgn0262871	0.01109
FBgn0030228	0.16265
FBgn0039140	0.0187
FBgn0037326	0.01083
FBgn0262743	0.02711
FBgn0024921	0.06559
FBgn0035693	0.06559
FBgn0000115	0
FBgn0035866	0.0031
FBgn0038916	0.01952
FBgn0013750	0.00579
FBgn0036107	0.01839
FBgn0034543	0.01714
FBgn0033194	0.06329
FBgn0052113	0.04565
FBgn0038471	0.03909
FBgn0038861	0.03815
FBgn0038737	0.03254
FBgn0030720	0.02534
FBgn0030792	0.07708
FBgn0004908	0.01436
FBgn0038915	0.12608
FBgn0034446	0.02327
FBgn0030088	0.00838
FBgn0037551	0.00178
FBgn0030375	0.08283
FBgn0085383	0.01426
FBgn0261619	0.02439
FBgn0035016	0.00973
FBgn0015818	0.01029
FBgn0038345	0.08525
FBgn0264270	0.01835
FBgn0024987	0.01835
FBgn0010263	0.00638
FBgn0086675	0.00276
FBgn0260400	0.00348
FBgn0052423	0.02105
FBgn0052138	0.01992
FBgn0025641	0.01145
FBgn0053556	0.04402
FBgn0011202	0.03017
FBgn0261259	0.01921
FBgn0000256	0.04043
FBgn0027841	0.01184
FBgn0264491	0.02223
FBgn0022987	0.01875
FBgn0022986	0.01875
FBgn0022985	0.01875
FBgn0034659	0.01875
FBgn0034740	0.01875
FBgn0022984	0.01875
FBgn0034731	0.02108
FBgn0028577	0.01021
FBgn0034834	0.05489
FBgn0005411	0.00494
FBgn0031883	0.02592
FBgn0036592	0.03548
FBgn0034204	0.09892
FBgn0050457	0.09892
FBgn0030186	0.02683
FBgn0052564	0.02662
FBgn0034598	0.02656
FBgn0032600	0.01835
FBgn0002783	0.01257
FBgn0037213	0.02589
FBgn0087008	0.03508
FBgn0263667	0.04557
FBgn0033015	0.02121
FBgn0013764	0.00934
FBgn0025790	0.01936
FBgn0004903	0.03598
FBgn0004237	0.01141
FBgn0001215	0.011
FBgn0010258	0.08224
FBgn0004838	0.00739
FBgn0260943	0
FBgn0011666	0.01918
FBgn0263396	0.02566
FBgn0031450	0.0119
FBgn0035995	0.02115
FBgn0027363	0.03238
FBgn0038290	0.09457
FBgn0038291	0.0952
FBgn0034583	0.0347
FBgn0051086	0.03801
FBgn0052633	0.03499
FBgn0033787	0.05946
FBgn0033786	0.06154
FBgn0034312	0.09367
FBgn0050458	0.03456
FBgn0034201	0.03456
FBgn0024998	0.02761
FBgn0259926	0.0762
FBgn0026874	0.07574
FBgn0085430	0.01437
FBgn0037220	0.00792
FBgn0023001	0.01449
FBgn0032812	0.0254
FBgn0053003	0.04486
FBgn0031607	0.00952
FBgn0005278	0.00636
FBgn0026479	0.01731
FBgn0261276	0.01971
FBgn0032593	0.01081
FBgn0003861	0.01595
FBgn0005614	0.02497
FBgn0036053	0.02409
FBgn0036416	0.07934
FBgn0027948	0.04055
FBgn0052654	0.03226
FBgn0036366	0.04877
FBgn0035166	0.05764
FBgn0243516	0.05023
FBgn0086686	0.0643
FBgn0036032	0.03626
FBgn0023540	0.03708
FBgn0035384	0.03505
FBgn0038373	0.02459
FBgn0035957	0.04835
FBgn0000116	0.01667
FBgn0050274	0.01942
FBgn0028490	0.05352
FBgn0040382	0.05354
FBgn0051496	0.05456
FBgn0025865	0.01535
FBgn0036372	0.02146
FBgn0030612	0.03196
FBgn0037891	0.03851
FBgn0031912	0.04289
FBgn0000259	0.00802
FBgn0026136	0.10271
FBgn0015300	0.10271
FBgn0053236	0.10271
FBgn0053237	0.10271
FBgn0053238	0.10271
FBgn0053239	0.10271
FBgn0053240	0.10271
FBgn0053241	0.10271
FBgn0053242	0.10271
FBgn0053243	0.10271
FBgn0053244	0.10271
FBgn0053245	0.10271
FBgn0053246	0.10271
FBgn0053247	0.10271
FBgn0259817	0.10271
FBgn0044817	0.10271
FBgn0030359	0.05585
FBgn0031042	0.0576
FBgn0042085	0.02995
FBgn0005616	0.09362
FBgn0032835	0.08974
FBgn0004583	0.0226
FBgn0004594	0.10805
FBgn0014851	0.10805
FBgn0014849	0.10805
FBgn0004590	0.10805
FBgn0004372	0.11141
FBgn0023509	0.04508
FBgn0046874	0.1168
FBgn0039670	0.06246
FBgn0035343	0.06245
FBgn0034295	0.06246
FBgn0034292	0.06246
FBgn0034291	0.06246
FBgn0053191	0.05932
FBgn0003979	0.04486
FBgn0003983	0.04486
FBgn0003980	0.0441
FBgn0036588	0.04497
FBgn0035859	0.03373
FBgn0038508	0.06568
FBgn0038381	0.06381
FBgn0030251	0.02727
FBgn0260780	0.03792
FBgn0024360	0.03952
FBgn0005536	0.04845
FBgn0034606	0.01207
FBgn0036801	0.02143
FBgn0035518	0.04702
FBgn0001978	0.02725
FBgn0002526	0.04742
FBgn0261563	0.04019
FBgn0015773	0.02708
FBgn0002528	0.0288
FBgn0261800	0.04191
FBgn0259896	0.00342
FBgn0027929	0.04807
FBgn0028542	0.0484
FBgn0028939	0.08098
FBgn0003390	0.03475
FBgn0035084	0.04947
FBgn0259240	0.00562
FBgn0004449	0.00927
FBgn0021742	0.02714
FBgn0039048	0.04089
FBgn0039852	0.02194
FBgn0039851	0.02132
FBgn0039704	0.03572
FBgn0020521	0.02886
FBgn0030001	0.03182
FBgn0036985	0.03811
FBgn0066365	0.00928
FBgn0004511	0.01752
FBgn0002577	0.01096
FBgn0035543	0.01816
FBgn0028622	0.01576
FBgn0030040	0.06445
FBgn0029795	0.03255
FBgn0032733	0.06525
FBgn0034662	0.07257
FBgn0019938	0.02517
FBgn0030687	0.01538
FBgn0003277	0.00605
FBgn0000395	0.04706
FBgn0029167	0.04185
FBgn0052499	0.01848
FBgn0032598	0.02144
FBgn0260653	0.0062
FBgn0261341	0.01102
FBgn0034197	0.04432
FBgn0032366	0.10286
FBgn0039027	0.03525
FBgn0039028	0.03689
FBgn0053299	0.01624
FBgn0028544	0.0439
FBgn0050101	0.01667
FBgn0086408	0.05753
FBgn0032252	0.04961
FBgn0003137	0.05348
FBgn0051619	0.02833
FBgn0038341	0.07849
FBgn0029791	0.03003
FBgn0086346	0.02752
FBgn0036448	0.02845
FBgn0031990	0.0393
FBgn0036621	0.03254
FBgn0033339	0.03475
FBgn0051057	0.01921
