Ensembl.Gene.ID	Rank
ENSDARG00000099995	2
ENSDARG00000076560	2
ENSDARG00000053771	2
ENSDARG00000103290	2
ENSDARG00000029234	2
ENSDARG00000009693	2
ENSDARG00000006383	2
ENSDARG00000002656	2
ENSDARG00000023920	2
ENSDARG00000019732	2
ENSDARG00000041323	2
ENSDARG00000053129	2
ENSDARG00000100167	2
ENSDARG00000102138	2
ENSDARG00000062335	2
ENSDARG00000059919	2
ENSDARG00000059475	2
ENSDARG00000091359	2
ENSDARG00000035122	2
ENSDARG00000062173	2
ENSDARG00000059965	2
ENSDARG00000045296	2
ENSDARG00000036092	2
ENSDARG00000079366	2
ENSDARG00000036359	2
ENSDARG00000067838	2
ENSDARG00000074264	2
ENSDARG00000078592	2
ENSDARG00000029472	2
ENSDARG00000074575	2
ENSDARG00000059866	2
ENSDARG00000098261	2
ENSDARG00000031345	2
ENSDARG00000053558	2
ENSDARG00000104225	2
ENSDARG00000103902	2
ENSDARG00000010953	2
ENSDARG00000089698	2
ENSDARG00000069619	2
ENSDARG00000035678	2
ENSDARG00000105099	2
ENSDARG00000036295	2
ENSDARG00000057676	2
ENSDARG00000099593	2
ENSDARG00000018303	2
ENSDARG00000069289	2
ENSDARG00000101959	2
ENSDARG00000003446	2
ENSDARG00000079508	2
ENSDARG00000008287	2
ENSDARG00000012039	2
ENSDARG00000013397	2
ENSDARG00000053113	2
ENSDARG00000103027	2
ENSDARG00000078135	2
ENSDARG00000044357	2
ENSDARG00000098679	2
ENSDARG00000094590	2
ENSDARG00000060723	2
ENSDARG00000061560	2
ENSDARG00000001776	2
ENSDARG00000074867	2
ENSDARG00000077537	2
ENSDARG00000078785	2
ENSDARG00000045976	2
ENSDARG00000098286	2
ENSDARG00000068415	2
ENSDARG00000068893	2
ENSDARG00000044492	2
ENSDARG00000103225	2
ENSDARG00000006617	2
ENSDARG00000043012	2
ENSDARG00000029795	2
ENSDARG00000057378	2
ENSDARG00000058325	2
ENSDARG00000070272	2
ENSDARG00000038024	2
ENSDARG00000014657	2
ENSDARG00000054515	2
ENSDARG00000055550	2
ENSDARG00000086266	2
ENSDARG00000070368	2
ENSDARG00000058341	2
ENSDARG00000093405	2
ENSDARG00000017905	2
ENSDARG00000026862	2
ENSDARG00000102953	2
ENSDARG00000074332	2
ENSDARG00000061644	2
ENSDARG00000039880	2
ENSDARG00000036944	2
ENSDARG00000062817	2
ENSDARG00000061717	2
ENSDARG00000090826	2
ENSDARG00000074892	2
ENSDARG00000070132	2
ENSDARG00000062530	2
ENSDARG00000088117	2
ENSDARG00000021399	2
ENSDARG00000014474	2
ENSDARG00000030830	2
ENSDARG00000041113	2
ENSDARG00000086493	2
ENSDARG00000069157	2
ENSDARG00000033539	2
ENSDARG00000038556	2
ENSDARG00000007678	2
ENSDARG00000076804	2
ENSDARG00000010727	2
ENSDARG00000038901	2
ENSDARG00000099617	2
ENSDARG00000086416	2
ENSDARG00000045139	2
ENSDARG00000089981	2
ENSDARG00000092305	2
ENSDARG00000100519	2
ENSDARG00000010563	2
ENSDARG00000003974	2
ENSDARG00000076798	2
ENSDARG00000100789	2
ENSDARG00000025670	2
ENSDARG00000100916	2
ENSDARG00000052428	2
ENSDARG00000011665	2
ENSDARG00000034470	2
ENSDARG00000057661	2
ENSDARG00000053684	2
ENSDARG00000019702	2
ENSDARG00000043554	2
ENSDARG00000077948	2
ENSDARG00000101082	2
ENSDARG00000062770	2
ENSDARG00000045554	2
ENSDARG00000102630	2
ENSDARG00000013174	2
ENSDARG00000020053	2
ENSDARG00000025559	2
ENSDARG00000036059	2
ENSDARG00000060594	2
ENSDARG00000020143	2
ENSDARG00000079020	2
ENSDARG00000062361	2
ENSDARG00000038384	2
ENSDARG00000036082	2
ENSDARG00000078186	2
ENSDARG00000078132	2
ENSDARG00000092052	2
ENSDARG00000037378	2
ENSDARG00000040190	2
ENSDARG00000090822	2
ENSDARG00000090118	2
ENSDARG00000086859	2
ENSDARG00000033889	2
ENSDARG00000004436	2
ENSDARG00000099519	2
ENSDARG00000074303	2
ENSDARG00000043402	2
ENSDARG00000042261	2
ENSDARG00000022730	2
ENSDARG00000059368	2
ENSDARG00000098588	2
ENSDARG00000040303	2
ENSDARG00000061169	2
ENSDARG00000101722	2
ENSDARG00000090818	2
ENSDARG00000006491	2
ENSDARG00000019897	2
ENSDARG00000016048	2
ENSDARG00000044072	2
ENSDARG00000069301	2
ENSDARG00000088956	2
ENSDARG00000041362	2
ENSDARG00000079532	2
ENSDARG00000094577	2
ENSDARG00000038608	2
ENSDARG00000038866	2
ENSDARG00000068438	2
ENSDARG00000062181	2
ENSDARG00000043857	2
ENSDARG00000102960	2
ENSDARG00000053499	2
ENSDARG00000014018	2
ENSDARG00000006896	2
ENSDARG00000063451	2
ENSDARG00000045091	2
ENSDARG00000101657	2
ENSDARG00000100482	2
ENSDARG00000090054	2
ENSDARG00000038524	2
ENSDARG00000018060	2
ENSDARG00000103038	2
ENSDARG00000010113	2
ENSDARG00000091777	2
ENSDARG00000038228	2
ENSDARG00000089936	2
ENSDARG00000052368	2
ENSDARG00000045618	2
ENSDARG00000022660	2
ENSDARG00000056378	2
ENSDARG00000087907	2
ENSDARG00000012790	2
ENSDARG00000055989	2
ENSDARG00000056108	2
ENSDARG00000103521	2
ENSDARG00000003414	2
ENSDARG00000058486	2
ENSDARG00000077983	2
ENSDARG00000062812	2
ENSDARG00000076302	2
ENSDARG00000025766	2
ENSDARG00000060392	2
ENSDARG00000044073	2
ENSDARG00000039770	2
ENSDARG00000035879	2
ENSDARG00000100584	2
ENSDARG00000103002	2
ENSDARG00000043864	2
ENSDARG00000059485	2
ENSDARG00000019881	2
ENSDARG00000078391	2
ENSDARG00000099177	2
ENSDARG00000073731	2
ENSDARG00000004948	2
ENSDARG00000054218	2
ENSDARG00000070579	2
ENSDARG00000070581	2
ENSDARG00000038248	2
ENSDARG00000101611	2
ENSDARG00000094224	2
ENSDARG00000093367	2
ENSDARG00000004171	2
ENSDARG00000045092	2
ENSDARG00000038789	2
ENSDARG00000098584	2
ENSDARG00000094644	2
ENSDARG00000094389	2
ENSDARG00000095586	2
ENSDARG00000059057	2
ENSDARG00000101794	2
ENSDARG00000027403	2
ENSDARG00000056924	2
ENSDARG00000079352	2
ENSDARG00000076752	2
ENSDARG00000078981	2
ENSDARG00000075956	2
ENSDARG00000069865	2
