Ensembl.Gene.ID	Rank
FBgn0030412	2
FBgn0002121	2
FBgn0027786	2
FBgn0029963	2
FBgn0036661	2
FBgn0041097	2
FBgn0004606	2
FBgn0032700	2
FBgn0035400	2
FBgn0037003	2
FBgn0037004	2
FBgn0037005	2
FBgn0040754	2
FBgn0036817	2
FBgn0266570	2
FBgn0033808	2
FBgn0033482	2
FBgn0030104	2
FBgn0031114	2
FBgn0036059	2
FBgn0039427	2
FBgn0034666	2
FBgn0038358	2
FBgn0011327	2
FBgn0030370	2
FBgn0031304	2
FBgn0034310	2
FBgn0039187	2
FBgn0045073	2
FBgn0004465	2
FBgn0036856	2
FBgn0030799	2
FBgn0039923	2
FBgn0032059	2
FBgn0016794	2
FBgn0037312	2
FBgn0033985	2
FBgn0032032	2
FBgn0023514	2
FBgn0031265	2
FBgn0051454	2
FBgn0051259	2
FBgn0037592	2
FBgn0035436	2
FBgn0038673	2
FBgn0035587	2
FBgn0038739	2
FBgn0259741	2
FBgn0033769	2
FBgn0027546	2
FBgn0036897	2
FBgn0264493	2
FBgn0034706	2
FBgn0030961	2
FBgn0035109	2
FBgn0030559	2
FBgn0039709	2
FBgn0039294	2
FBgn0002044	2
FBgn0036258	2
FBgn0261555	2
FBgn0033799	2
FBgn0039068	2
FBgn0053474	2
FBgn0086695	2
FBgn0031003	2
FBgn0037466	2
FBgn0264305	2
FBgn0051665	2
FBgn0035964	2
FBgn0027574	2
FBgn0033897	2
FBgn0030208	2
FBgn0024510	2
FBgn0262112	2
FBgn0039488	2
FBgn0037070	2
FBgn0261530	2
FBgn0261618	2
FBgn0261722	2
FBgn0031132	2
FBgn0034971	2
FBgn0037860	2
FBgn0037873	2
FBgn0260655	2
FBgn0040375	2
FBgn0032732	2
FBgn0011232	2
FBgn0036643	2
FBgn0036652	2
FBgn0031231	2
FBgn0027866	2
FBgn0037185	2
FBgn0029888	2
FBgn0033935	2
FBgn0051835	2
FBgn0028531	2
FBgn0052668	2
FBgn0040355	2
FBgn0036133	2
FBgn0033000	2
FBgn0038088	2
FBgn0051345	2
FBgn0033995	2
FBgn0038183	2
FBgn0030997	2
FBgn0028371	2
FBgn0032391	2
FBgn0026417	2
FBgn0034172	2
FBgn0032873	2
FBgn0050291	2
FBgn0033031	2
FBgn0029868	2
FBgn0035521	2
FBgn0028663	2
FBgn0028664	2
FBgn0032169	2
FBgn0017414	2
FBgn0014163	2
FBgn0034948	2
FBgn0259199	2
FBgn0033605	2
FBgn0263706	2
FBgn0032812	2
FBgn0034622	2
FBgn0037313	2
FBgn0053080	2
FBgn0261575	2
FBgn0058191	2
FBgn0261380	2
FBgn0037026	2
FBgn0047038	2
FBgn0041630	2
FBgn0000575	2
FBgn0054015	2
FBgn0031378	2
FBgn0031726	2
FBgn0046114	2
FBgn0039280	2
FBgn0040780	2
FBgn0013773	2
FBgn0029873	2
FBgn0261270	2
FBgn0032224	2
FBgn0025700	2
FBgn0262647	2
FBgn0032340	2
FBgn0261437	2
FBgn0037747	2
FBgn0026869	2
FBgn0004132	2
FBgn0054031	2
FBgn0265102	2
FBgn0035145	2
FBgn0040634	2
FBgn0259984	2
FBgn0028984	2
FBgn0031491	2
FBgn0034361	2
FBgn0259991	2
FBgn0058042	2
FBgn0050467	2
FBgn0037460	2
FBgn0033656	2
FBgn0004644	2
FBgn0039528	2
FBgn0031981	2
FBgn0040389	2
FBgn0037980	2
FBgn0005677	2
FBgn0036039	2
FBgn0032691	2
FBgn0036029	2
FBgn0030722	2
FBgn0031772	2
FBgn0261624	2
FBgn0023215	2
FBgn0010317	2
FBgn0035517	2
FBgn0034579	2
FBgn0029891	2
FBgn0019650	2
FBgn0033224	2
FBgn0066304	2
FBgn0033885	2
FBgn0039802	2
FBgn0062442	2
FBgn0036988	2
FBgn0030892	2
FBgn0051040	2
FBgn0043001	2
FBgn0032259	2
FBgn0010407	2
FBgn0035237	2
FBgn0030352	2
FBgn0030345	2
FBgn0263117	2
FBgn0250911	2
FBgn0001259	2
FBgn0259737	2
FBgn0026326	2
FBgn0033624	2
FBgn0039084	2
FBgn0066303	2
FBgn0029676	2
FBgn0260484	2
FBgn0263987	2
FBgn0039770	2
FBgn0027584	2
FBgn0031529	2
FBgn0039339	2
FBgn0004396	2
FBgn0029690	2
FBgn0015575	2
FBgn0001114	2
FBgn0015571	2
FBgn0032058	2
FBgn0266672	2
FBgn0030692	2
FBgn0031711	2
FBgn0036570	2
FBgn0259234	2
FBgn0004108	2
FBgn0001987	2
FBgn0010750	2
FBgn0039379	2
FBgn0037897	2
FBgn0029737	2
FBgn0030323	2
FBgn0012037	2
FBgn0027597	2
FBgn0032536	2
FBgn0032535	2
FBgn0033366	2
FBgn0032870	2
FBgn0033810	2
FBgn0036936	2
FBgn0033884	2
FBgn0032705	2
FBgn0038672	2
FBgn0029935	2
FBgn0046214	2
FBgn0265487	2
FBgn0037880	2
FBgn0027616	2
FBgn0029689	2
FBgn0037759	2
FBgn0036299	2
FBgn0034094	2
FBgn0022355	2
FBgn0030196	2
FBgn0037100	2
FBgn0037777	2
FBgn0052380	2
FBgn0025639	2
FBgn0037536	2
FBgn0037215	2
FBgn0266053	2
FBgn0034307	2
FBgn0033757	2
FBgn0031987	2
FBgn0035491	2
FBgn0027491	2
FBgn0002734	2
FBgn0029977	2
FBgn0010109	2
FBgn0002633	2
FBgn0002631	2
FBgn0001168	2
FBgn0000591	2
FBgn0026261	2
FBgn0034380	2
FBgn0034417	2
FBgn0039874	2
FBgn0033019	2
FBgn0033447	2
FBgn0021760	2
FBgn0036874	2
FBgn0036761	2
FBgn0002716	2
FBgn0010416	2
FBgn0036846	2
FBgn0011476	2
FBgn0265298	2
FBgn0040985	2
FBgn0260444	2
FBgn0035876	2
FBgn0027589	2
FBgn0033309	2
FBgn0027608	2
FBgn0043070	2
FBgn0262685	2
FBgn0061200	2
FBgn0085437	2
FBgn0003067	2
FBgn0034356	2
FBgn0031909	2
FBgn0025615	2
FBgn0052190	2
FBgn0264785	2
FBgn0038286	2
FBgn0019644	2
FBgn0038275	2
FBgn0034532	2
FBgn0032717	2
FBgn0038307	2
FBgn0262614	2
FBgn0038111	2
FBgn0026577	2
FBgn0031496	2
FBgn0259166	2
FBgn0023519	2
FBgn0031458	2
FBgn0035298	2
FBgn0262636	2
FBgn0267337	2
FBgn0030003	2
FBgn0013531	2
FBgn0037931	2
FBgn0037717	2
FBgn0039329	2
FBgn0028647	2
FBgn0003044	2
FBgn0036262	2
FBgn0034352	2
FBgn0001139	2
FBgn0033550	2
FBgn0053544	2
FBgn0030786	2
FBgn0037467	2
FBgn0035592	2
FBgn0032295	2
FBgn0032979	2
FBgn0086784	2
FBgn0000520	2
FBgn0003169	2
FBgn0003742	2
FBgn0032857	2
FBgn0026149	2
FBgn0030768	2
FBgn0028919	2
FBgn0263198	2
FBgn0051721	2
FBgn0029858	2
FBgn0035833	2
FBgn0029881	2
FBgn0034406	2
FBgn0034405	2
FBgn0010053	2
FBgn0265598	2
FBgn0028479	2
FBgn0263916	2
FBgn0036319	2
FBgn0031250	2
FBgn0032153	2
FBgn0261803	2
FBgn0003041	2
FBgn0039626	2
FBgn0019960	2
FBgn0026059	2
FBgn0030610	2
FBgn0030122	2
FBgn0031820	2
FBgn0039749	2
FBgn0030242	2
FBgn0034614	2
FBgn0031897	2
FBgn0051148	2
FBgn0039972	2
FBgn0033020	2
FBgn0032833	2
FBgn0026432	2
FBgn0028427	2
FBgn0051713	2
FBgn0039066	2
FBgn0036195	2
FBgn0034982	2
FBgn0037022	2
FBgn0035943	2
FBgn0002036	2
FBgn0033584	2
FBgn0030739	2
FBgn0036749	2
FBgn0037638	2
FBgn0031150	2
FBgn0033092	2
FBgn0036206	2
FBgn0033196	2
FBgn0243512	2
FBgn0000477	2
FBgn0034277	2
FBgn0053558	2
FBgn0032746	2
FBgn0025582	2
FBgn0031589	2
FBgn0040227	2
FBgn0037994	2
FBgn0052442	2
FBgn0050077	2
FBgn0053129	2
FBgn0034447	2
FBgn0032753	2
FBgn0039759	2
FBgn0039101	2
FBgn0039494	2
FBgn0001280	2
FBgn0259822	2
FBgn0034430	2
FBgn0003141	2
FBgn0037280	2
FBgn0050093	2
FBgn0034877	2
FBgn0036830	2
FBgn0035166	2
FBgn0263025	2
FBgn0034368	2
FBgn0264741	2
FBgn0039126	2
FBgn0264740	2
FBgn0027525	2
FBgn0032923	2
FBgn0020407	2
FBgn0010438	2
FBgn0027844	2
FBgn0266572	2
FBgn0035687	2
FBgn0003977	2
FBgn0014023	2
FBgn0025697	2
FBgn0035110	2
FBgn0035148	2
FBgn0000079	2
FBgn0000078	2
FBgn0020506	2
FBgn0035390	2
FBgn0033582	2
FBgn0052056	2
FBgn0030790	2
FBgn0050147	2
FBgn0034315	2
FBgn0002939	2
FBgn0035090	2
FBgn0032478	2
FBgn0037911	2
FBgn0028500	2
FBgn0259832	2
FBgn0266671	2
FBgn0036005	2
FBgn0033486	2
FBgn0036491	2
FBgn0036492	2
FBgn0035696	2
FBgn0040238	2
FBgn0037962	2
FBgn0029915	2
FBgn0051224	2
FBgn0028895	2
FBgn0033913	2
FBgn0027785	2
FBgn0032647	2
FBgn0032649	2
FBgn0032648	2
FBgn0017567	2
FBgn0035475	2
FBgn0003475	2
FBgn0034611	2
FBgn0033713	2
FBgn0051800	2
FBgn0029801	2
FBgn0025865	2
FBgn0036372	2
FBgn0004838	2
FBgn0025726	2
FBgn0036875	2
FBgn0036877	2
FBgn0036876	2
FBgn0000032	2
FBgn0038912	2
FBgn0038829	2
FBgn0262872	2
FBgn0024491	2
FBgn0052833	2
FBgn0002736	2
FBgn0038853	2
FBgn0037653	2
FBgn0042186	2
FBgn0051681	2
FBgn0023509	2
FBgn0004372	2
FBgn0035909	2
FBgn0005695	2
FBgn0036428	2
FBgn0037758	2
FBgn0038893	2
FBgn0025394	2
FBgn0037391	2
FBgn0027836	2
FBgn0011832	2
FBgn0034807	2
FBgn0020647	2
FBgn0037734	2
FBgn0034008	2
FBgn0037944	2
FBgn0010620	2
FBgn0052732	2
FBgn0026873	2
FBgn0011586	2
FBgn0010425	2
FBgn0000376	2
FBgn0035445	2
FBgn0030724	2
FBgn0050441	2
FBgn0010504	2
FBgn0021825	2
