Ensembl.Gene.ID	Paralogs.Number
WBGene00000002	8
WBGene00000003	8
WBGene00000004	8
WBGene00000005	8
WBGene00000006	8
WBGene00000007	8
WBGene00000008	8
WBGene00000009	8
WBGene00000010	8
WBGene00000012	1
WBGene00000013	1
WBGene00000014	3
WBGene00000015	3
WBGene00000016	3
WBGene00000018	2
WBGene00000020	3
WBGene00000022	3
WBGene00000023	3
WBGene00000024	20
WBGene00000025	20
WBGene00000026	20
WBGene00000027	20
WBGene00000028	20
WBGene00000029	20
WBGene00000030	20
WBGene00000031	20
WBGene00000032	20
WBGene00000035	4
WBGene00000036	4
WBGene00000037	4
WBGene00000038	4
WBGene00000042	9
WBGene00000043	9
WBGene00000044	40
WBGene00000045	9
WBGene00000046	40
WBGene00000047	9
WBGene00000048	40
WBGene00000049	40
WBGene00000050	40
WBGene00000051	9
WBGene00000053	40
WBGene00000054	40
WBGene00000055	40
WBGene00000056	40
WBGene00000057	40
WBGene00000058	40
WBGene00000059	40
WBGene00000060	40
WBGene00000061	40
WBGene00000062	40
WBGene00000063	4
WBGene00000064	4
WBGene00000065	4
WBGene00000066	4
WBGene00000067	4
WBGene00000068	3
WBGene00000069	3
WBGene00000070	3
WBGene00000071	3
WBGene00000072	1
WBGene00000073	1
WBGene00000075	1
WBGene00000079	2
WBGene00000080	2
WBGene00000081	1
WBGene00000082	7
WBGene00000083	7
WBGene00000086	4
WBGene00000088	3
WBGene00000089	4
WBGene00000090	2
WBGene00000095	2
WBGene00000098	1
WBGene00000099	1
WBGene00000101	2
WBGene00000102	6
WBGene00000103	6
WBGene00000105	24
WBGene00000106	24
WBGene00000107	6
WBGene00000108	6
WBGene00000109	6
WBGene00000110	1
WBGene00000111	1
WBGene00000114	6
WBGene00000115	6
WBGene00000117	6
WBGene00000118	6
WBGene00000120	2
WBGene00000121	2
WBGene00000122	2
WBGene00000123	1
WBGene00000133	3
WBGene00000134	3
WBGene00000135	3
WBGene00000136	3
WBGene00000137	4
WBGene00000139	4
WBGene00000140	6
WBGene00000144	1
WBGene00000146	2
WBGene00000150	3
WBGene00000155	1
WBGene00000157	1
WBGene00000159	1
WBGene00000164	3
WBGene00000168	2
WBGene00000169	4
WBGene00000170	4
WBGene00000171	4
WBGene00000172	2
WBGene00000173	2
WBGene00000174	2
WBGene00000175	4
WBGene00000176	4
WBGene00000178	1
WBGene00000179	1
WBGene00000180	6
WBGene00000181	31
WBGene00000182	6
WBGene00000183	6
WBGene00000184	6
WBGene00000185	2
WBGene00000186	3
WBGene00000187	3
WBGene00000188	6
WBGene00000189	6
WBGene00000192	3
WBGene00000193	3
WBGene00000196	1
WBGene00000197	1
WBGene00000199	1
WBGene00000202	1
WBGene00000205	1
WBGene00000206	1
WBGene00000207	1
WBGene00000209	1
WBGene00000210	1
WBGene00000211	3
WBGene00000212	3
WBGene00000213	3
WBGene00000214	16
WBGene00000215	16
WBGene00000216	16
WBGene00000217	16
WBGene00000218	16
WBGene00000219	16
WBGene00000224	1
WBGene00000225	1
WBGene00000228	6
WBGene00000232	8
WBGene00000233	8
WBGene00000238	1
WBGene00000239	4
WBGene00000240	2
WBGene00000244	1
WBGene00000245	1
WBGene00000246	1
WBGene00000248	5
WBGene00000249	1
WBGene00000250	1
WBGene00000251	26
WBGene00000252	38
WBGene00000253	1
WBGene00000254	3
WBGene00000256	36
WBGene00000257	7
WBGene00000262	1
WBGene00000264	1
WBGene00000265	3
WBGene00000266	1
WBGene00000267	12
WBGene00000269	2
WBGene00000270	1
WBGene00000274	1
WBGene00000279	3
WBGene00000280	3
WBGene00000281	1
WBGene00000282	3
WBGene00000283	1
WBGene00000284	3
WBGene00000285	6
WBGene00000286	6
WBGene00000287	6
WBGene00000288	6
WBGene00000289	4
WBGene00000294	1
WBGene00000295	2
WBGene00000296	2
WBGene00000301	1
WBGene00000302	1
WBGene00000366	5
WBGene00000368	1
WBGene00000372	28
WBGene00000373	25
WBGene00000376	2
WBGene00000382	1
WBGene00000386	3
WBGene00000387	3
WBGene00000388	3
WBGene00000389	3
WBGene00000390	5
WBGene00000391	1
WBGene00000392	1
WBGene00000393	2
WBGene00000395	5
WBGene00000396	3
WBGene00000397	5
WBGene00000401	5
WBGene00000402	5
WBGene00000405	5
WBGene00000406	5
WBGene00000407	5
WBGene00000408	2
WBGene00000410	2
WBGene00000412	10
WBGene00000415	1
WBGene00000417	3
WBGene00000420	1
WBGene00000421	3
WBGene00000424	5
WBGene00000428	5
WBGene00000429	6
WBGene00000430	6
WBGene00000431	2
WBGene00000432	6
WBGene00000433	2
WBGene00000434	8
WBGene00000435	2
WBGene00000436	5
WBGene00000437	5
WBGene00000438	6
WBGene00000439	6
WBGene00000440	2
WBGene00000441	2
WBGene00000442	6
WBGene00000443	2
WBGene00000444	5
WBGene00000445	8
WBGene00000446	6
WBGene00000447	8
WBGene00000449	8
WBGene00000450	8
WBGene00000451	3
WBGene00000452	3
WBGene00000453	3
WBGene00000454	3
WBGene00000455	3
WBGene00000457	7
WBGene00000458	7
WBGene00000459	5
WBGene00000460	5
WBGene00000461	2
WBGene00000463	8
WBGene00000464	5
WBGene00000465	4
WBGene00000466	2
WBGene00000468	2
WBGene00000469	1
WBGene00000472	3
WBGene00000473	3
WBGene00000474	3
WBGene00000475	3
WBGene00000476	2
WBGene00000477	3
WBGene00000478	4
WBGene00000480	1
WBGene00000481	9
WBGene00000482	3
WBGene00000485	1
WBGene00000487	7
WBGene00000488	24
WBGene00000493	1
WBGene00000496	1
WBGene00000497	1
WBGene00000498	6
WBGene00000499	1
WBGene00000503	31
WBGene00000506	4
WBGene00000507	4
WBGene00000508	4
WBGene00000509	6
WBGene00000510	6
WBGene00000511	6
WBGene00000512	6
WBGene00000513	6
WBGene00000514	6
WBGene00000515	6
WBGene00000518	1
WBGene00000522	1
WBGene00000523	1
WBGene00000525	1
WBGene00000526	1
