Ensembl.Gene.ID	Paralogs.Number
ENSDARG00000000001	4
ENSDARG00000000002	4
ENSDARG00000000068	6
ENSDARG00000000086	15
ENSDARG00000000103	21
ENSDARG00000000151	17
ENSDARG00000000161	15
ENSDARG00000000175	27
ENSDARG00000000183	19
ENSDARG00000000189	11
ENSDARG00000000212	14
ENSDARG00000000229	5
ENSDARG00000000241	1
ENSDARG00000000324	3
ENSDARG00000000369	4
ENSDARG00000000370	16
ENSDARG00000000380	11
ENSDARG00000000394	3
ENSDARG00000000423	3
ENSDARG00000000442	7
ENSDARG00000000460	15
ENSDARG00000000472	22
ENSDARG00000000474	12
ENSDARG00000000476	1
ENSDARG00000000489	1
ENSDARG00000000503	10
ENSDARG00000000551	12
ENSDARG00000000563	18
ENSDARG00000000567	4
ENSDARG00000000568	5
ENSDARG00000000588	2
ENSDARG00000000606	11
ENSDARG00000000631	19
ENSDARG00000000638	38
ENSDARG00000000656	2
ENSDARG00000000666	1
ENSDARG00000000690	6
ENSDARG00000000730	26
ENSDARG00000000747	1
ENSDARG00000000767	4
ENSDARG00000000796	17
ENSDARG00000000804	3
ENSDARG00000000837	4
ENSDARG00000000857	10
ENSDARG00000000861	12
ENSDARG00000000887	1
ENSDARG00000000906	1
ENSDARG00000000935	1
ENSDARG00000000943	1
ENSDARG00000000966	4
ENSDARG00000001014	21
ENSDARG00000001015	5
ENSDARG00000001127	8
ENSDARG00000001129	2
ENSDARG00000001154	3
ENSDARG00000001162	3
ENSDARG00000001169	13
ENSDARG00000001234	13
ENSDARG00000001241	15
ENSDARG00000001249	5
ENSDARG00000001259	5
ENSDARG00000001303	2
ENSDARG00000001354	26
ENSDARG00000001414	8
ENSDARG00000001431	19
ENSDARG00000001437	12
ENSDARG00000001442	10
ENSDARG00000001447	4
ENSDARG00000001452	8
ENSDARG00000001463	1
ENSDARG00000001470	23
ENSDARG00000001498	1
ENSDARG00000001549	17
ENSDARG00000001557	4
ENSDARG00000001558	4
ENSDARG00000001559	11
ENSDARG00000001572	7
ENSDARG00000001578	6
ENSDARG00000001621	1
ENSDARG00000001634	4
ENSDARG00000001656	2
ENSDARG00000001676	5
ENSDARG00000001686	5
ENSDARG00000001710	3
ENSDARG00000001712	2
ENSDARG00000001721	2
ENSDARG00000001729	3
ENSDARG00000001733	6
ENSDARG00000001734	1
ENSDARG00000001760	27
ENSDARG00000001767	6
ENSDARG00000001769	17
