Ensembl.Gene.ID	omega0
ENSMUSG00000037032	0.03229
ENSMUSG00000001379	0.06061
ENSMUSG00000032485	0.03646
ENSMUSG00000020782	0.05211
ENSMUSG00000020536	0.04184
ENSMUSG00000019790	0.05341
ENSMUSG00000022829	0.05346
ENSMUSG00000050549	0.07801
ENSMUSG00000020097	0.08755
ENSMUSG00000030780	0.08674
ENSMUSG00000002949	0.0441
ENSMUSG00000013822	0.01508
ENSMUSG00000034394	0.13217
ENSMUSG00000051950	0.0751
ENSMUSG00000038784	0.0429
ENSMUSG00000073616	0.01263
ENSMUSG00000046791	0.07004
ENSMUSG00000022724	0.10486
ENSMUSG00000043140	0.13007
ENSMUSG00000030835	0.0439
ENSMUSG00000037416	0.06362
ENSMUSG00000041268	0.03964
ENSMUSG00000034889	0.00858
ENSMUSG00000037846	0.13512
ENSMUSG00000034930	0.06524
ENSMUSG00000048439	0.1731
ENSMUSG00000023206	0.14221
ENSMUSG00000049436	0.09871
ENSMUSG00000006313	0.04625
ENSMUSG00000034607	0.09636
ENSMUSG00000026051	0.07708
ENSMUSG00000072662	0.14255
ENSMUSG00000009894	0.1261
ENSMUSG00000022235	0.12433
ENSMUSG00000002767	0.03693
ENSMUSG00000039640	0.03906
ENSMUSG00000022749	0.03535
ENSMUSG00000020739	0.06139
ENSMUSG00000038010	0.11612
ENSMUSG00000026765	0.06684
ENSMUSG00000050447	0.10033
ENSMUSG00000030772	0.10677
ENSMUSG00000026820	0.05642
ENSMUSG00000051730	0.06085
ENSMUSG00000013698	0.02039
ENSMUSG00000020718	0.11837
ENSMUSG00000045248	0.08819
ENSMUSG00000026239	0.01337
ENSMUSG00000070637	0.24233
ENSMUSG00000018697	0.07164
ENSMUSG00000035754	0.06741
ENSMUSG00000022962	0.10253
ENSMUSG00000039428	0.05683
ENSMUSG00000004268	0.03514
ENSMUSG00000063236	0.11985
ENSMUSG00000028179	0.08157
ENSMUSG00000029551	0.10126
ENSMUSG00000022223	0.08395
ENSMUSG00000036639	0.08384
ENSMUSG00000027079	0.01399
ENSMUSG00000038876	0.03896
ENSMUSG00000026771	0.02675
ENSMUSG00000059920	0.12625
ENSMUSG00000016495	0.09545
ENSMUSG00000020255	0.16312
ENSMUSG00000037355	0.10118
ENSMUSG00000033417	0.0593
ENSMUSG00000035873	0.0415
ENSMUSG00000041707	0.15999
ENSMUSG00000033047	0.00686
ENSMUSG00000004880	0.09555
ENSMUSG00000024799	0.06528
ENSMUSG00000058454	0.05078
ENSMUSG00000037343	0.02161
ENSMUSG00000069633	0.0838
ENSMUSG00000031534	0.06046
