Ensembl.Gene.ID	Rank
WBGene00001188	2
WBGene00007409	2
WBGene00003395	2
WBGene00017311	2
WBGene00020097	2
WBGene00008973	2
WBGene00021249	2
WBGene00022727	2
WBGene00011181	2
WBGene00019399	2
WBGene00000096	2
WBGene00007270	2
WBGene00010867	2
WBGene00002295	2
WBGene00013540	2
WBGene00012867	2
WBGene00022575	2
WBGene00017973	2
WBGene00012933	2
WBGene00012811	2
WBGene00006657	2
WBGene00001190	2
WBGene00016135	2
WBGene00017440	2
WBGene00012202	2
WBGene00009370	2
WBGene00004029	2
WBGene00006668	2
WBGene00010784	2
WBGene00008684	2
WBGene00019076	2
WBGene00007915	2
WBGene00018872	2
WBGene00016112	2
WBGene00011697	2
WBGene00008974	2
WBGene00009207	2
WBGene00003029	2
WBGene00007531	2
WBGene00011054	2
WBGene00006683	2
WBGene00006681	2
WBGene00008643	2
WBGene00013323	2
WBGene00008764	2
WBGene00001129	2
WBGene00022372	2
WBGene00021924	2
WBGene00022767	2
WBGene00009672	2
WBGene00010551	2
WBGene00006672	2
WBGene00018958	2
WBGene00006665	2
WBGene00013261	2
WBGene00000426	2
WBGene00019652	2
WBGene00003937	2
WBGene00009100	2
WBGene00018657	2
WBGene00012828	2
WBGene00000092	2
WBGene00011398	2
WBGene00007186	2
WBGene00007267	2
WBGene00012458	2
WBGene00004743	2
WBGene00003037	2
WBGene00020026	2
WBGene00020828	2
WBGene00019365	2
WBGene00016966	2
WBGene00017164	2
WBGene00003813	2
WBGene00011106	2
WBGene00020307	2
WBGene00003788	2
WBGene00015126	2
WBGene00021910	2
WBGene00011239	2
WBGene00020216	2
WBGene00003966	2
WBGene00016863	2
WBGene00018701	2
WBGene00000561	2
WBGene00008610	2
WBGene00016540	2
WBGene00021578	2
WBGene00006671	2
WBGene00020717	2
WBGene00008427	2
WBGene00016992	2
WBGene00004749	2
WBGene00017342	2
WBGene00006694	2
WBGene00016862	2
WBGene00010035	2
WBGene00020347	2
WBGene00004348	2
WBGene00004367	2
WBGene00004092	2
WBGene00003394	2
WBGene00004753	2
WBGene00010471	2
WBGene00045337	2
WBGene00016983	2
WBGene00017293	2
WBGene00016744	2
WBGene00008338	2
WBGene00011917	2
WBGene00044736	2
WBGene00000989	2
WBGene00019109	2
WBGene00000973	2
WBGene00007361	2
WBGene00000664	2
WBGene00000692	2
WBGene00000701	2
WBGene00012920	2
WBGene00007118	2
WBGene00008008	2
WBGene00020441	2
WBGene00006676	2
WBGene00003018	2
WBGene00015067	2
WBGene00016165	2
WBGene00015920	2
WBGene00007857	2
WBGene00012830	2
WBGene00016321	2
WBGene00016249	2
WBGene00019126	2
WBGene00019978	2
WBGene00006792	2
WBGene00011437	2
WBGene00007129	2
WBGene00000280	2
WBGene00004255	2
WBGene00010721	2
WBGene00003883	2
WBGene00001955	2
WBGene00235289	2
WBGene00022251	2
WBGene00016984	2
WBGene00009191	2
WBGene00004894	2
WBGene00022781	2
WBGene00007210	2
WBGene00077697	2
WBGene00021075	2
WBGene00015278	2
WBGene00012138	2
WBGene00021205	2
WBGene00020673	2
WBGene00000906	2
WBGene00016812	2
WBGene00018591	2
WBGene00000416	2
WBGene00000563	2
WBGene00018719	2
WBGene00010233	2
WBGene00003225	2
WBGene00000933	2
WBGene00006674	2
WBGene00008877	2
WBGene00021750	2
WBGene00016964	2
WBGene00014210	2
WBGene00011731	2
WBGene00003001	2
WBGene00022273	2
WBGene00004381	2
WBGene00016592	2
WBGene00022128	2
WBGene00009769	2
WBGene00010579	2
WBGene00013802	2
WBGene00015579	2
WBGene00007744	2
WBGene00007756	2
WBGene00017137	2
WBGene00000302	2
WBGene00015184	2
WBGene00021420	2
WBGene00021311	2
WBGene00013674	2
WBGene00012997	2
WBGene00015324	2
WBGene00008330	2
WBGene00003209	2
WBGene00013689	2
WBGene00016803	2
WBGene00018137	2
WBGene00015567	2
WBGene00011815	2
WBGene00022840	2
WBGene00001660	2
WBGene00011768	2
WBGene00006960	2
WBGene00022812	2
WBGene00012550	2
WBGene00006525	2
WBGene00022673	2
WBGene00001507	2
WBGene00017431	2
WBGene00009939	2
WBGene00007014	2
WBGene00006677	2
WBGene00015407	2
WBGene00020191	2
WBGene00010411	2
WBGene00044044	2
WBGene00012780	2
WBGene00006446	2
WBGene00000282	2
WBGene00019345	2
WBGene00016562	2
WBGene00015492	2
WBGene00014213	2
WBGene00013020	2
WBGene00010540	2
WBGene00020647	2
WBGene00016019	2
WBGene00019151	2
WBGene00021043	2
WBGene00011232	2
WBGene00015554	2
WBGene00003870	2
WBGene00006598	2
WBGene00006597	2
WBGene00009674	2
WBGene00013260	2
WBGene00007226	2
WBGene00017238	2
WBGene00001178	2
WBGene00018786	2
WBGene00012245	2
WBGene00021346	2
WBGene00010902	2
WBGene00000206	2
WBGene00000207	2
WBGene00006843	2
WBGene00004343	2
WBGene00020688	2
WBGene00021475	2
WBGene00011142	2
WBGene00022087	2
WBGene00019125	2
WBGene00022270	2
WBGene00011334	2
WBGene00020556	2
WBGene00018547	2
WBGene00022721	2
WBGene00011593	2
WBGene00004192	2
WBGene00019898	2
WBGene00000147	2
WBGene00011595	2
WBGene00007020	2
WBGene00002047	2
WBGene00008599	2
WBGene00021295	2
WBGene00004706	2
WBGene00012645	2
WBGene00004705	2
WBGene00002048	2
WBGene00009811	2
WBGene00002205	2
WBGene00006359	2
WBGene00013156	2
WBGene00011871	2
WBGene00006777	2
WBGene00016311	2
WBGene00007138	2
WBGene00017826	2
WBGene00010810	2
WBGene00017699	2
WBGene00013551	2
WBGene00007528	2
WBGene00020273	2
WBGene00022502	2
WBGene00002042	2
WBGene00011249	2
WBGene00012538	2
WBGene00015001	2
WBGene00012002	2
WBGene00020402	2
WBGene00015623	2
WBGene00009993	2
WBGene00044989	2
WBGene00004984	2
WBGene00011279	2
WBGene00001484	2
WBGene00008706	2
WBGene00010975	2
WBGene00011412	2
WBGene00009508	2
WBGene00002179	2
WBGene00015233	2
WBGene00013001	2
WBGene00021392	2
WBGene00019477	2
WBGene00011364	2
WBGene00007692	2
WBGene00013720	2
WBGene00008296	2
WBGene00013266	2
WBGene00010510	2
WBGene00009686	2
WBGene00008123	2
WBGene00010701	2
WBGene00001320	2
WBGene00009499	2
WBGene00007745	2
WBGene00044614	2
WBGene00009051	2
WBGene00001579	2
WBGene00008686	2
WBGene00002243	2
WBGene00002151	2
WBGene00017877	2
WBGene00011554	2
WBGene00020927	2
WBGene00010641	2
WBGene00020511	2
WBGene00012315	2
WBGene00020163	2
WBGene00003885	2
WBGene00013654	2
WBGene00219316	2
WBGene00008936	2
WBGene00018157	2
WBGene00022580	2
WBGene00018240	2
WBGene00018072	2
WBGene00010614	2
WBGene00008405	2
WBGene00011488	2
WBGene00015702	2
WBGene00011827	2
WBGene00000449	2
WBGene00007595	2
WBGene00001041	2
WBGene00007704	2
WBGene00013687	2
WBGene00012354	2
WBGene00009200	2
WBGene00011908	2
WBGene00003581	2
WBGene00010990	2
WBGene00008745	2
WBGene00022759	2
WBGene00011344	2
WBGene00020719	2
WBGene00016614	2
WBGene00006780	2
WBGene00006616	2
WBGene00004011	2
WBGene00000452	2
WBGene00000451	2
WBGene00000584	2
WBGene00016468	2
WBGene00001231	2
WBGene00001080	2
WBGene00018512	2
WBGene00009163	2
WBGene00018132	2
WBGene00019404	2
WBGene00016704	2
WBGene00020258	2
WBGene00022242	2
WBGene00016124	2
WBGene00017671	2
WBGene00010015	2
WBGene00022765	2
WBGene00010284	2
WBGene00018877	2
WBGene00003605	2
WBGene00016154	2
WBGene00000220	2
WBGene00001644	2
WBGene00017867	2
WBGene00017868	2
WBGene00013715	2
WBGene00013711	2
WBGene00015555	2
WBGene00019607	2
WBGene00000527	2
WBGene00001566	2
WBGene00013730	2
WBGene00016601	2
WBGene00019693	2
WBGene00006384	2
WBGene00012658	2
WBGene00008711	2
WBGene00014019	2
WBGene00022469	2
WBGene00009203	2
WBGene00009335	2
WBGene00000205	2
WBGene00016729	2
WBGene00002261	2
WBGene00016735	2
WBGene00006893	2
WBGene00019756	2
WBGene00013497	2
WBGene00015767	2
WBGene00021766	2
WBGene00012663	2
WBGene00020425	2
WBGene00021929	2
WBGene00008033	2
WBGene00003423	2
WBGene00022235	2
WBGene00006514	2
WBGene00004185	2
WBGene00008624	2
WBGene00006958	2
WBGene00019822	2
WBGene00017576	2
WBGene00000402	2
WBGene00000397	2
WBGene00015092	2
WBGene00000395	2
WBGene00007195	2
WBGene00000412	2
WBGene00016789	2
WBGene00044026	2
WBGene00011935	2
WBGene00235369	2
WBGene00015333	2
WBGene00003933	2
WBGene00022649	2
WBGene00014200	2
WBGene00013052	2
WBGene00008681	2
WBGene00003089	2
WBGene00004854	2
WBGene00010134	2
WBGene00007833	2
WBGene00006544	2
WBGene00019401	2
WBGene00002258	2
WBGene00003893	2
WBGene00016022	2
WBGene00015388	2
WBGene00018738	2
WBGene00007862	2
WBGene00001374	2
WBGene00020334	2
WBGene00012740	2
WBGene00022538	2
WBGene00018384	2
WBGene00003578	2
WBGene00015114	2
WBGene00022870	2
WBGene00022866	2
WBGene00013577	2
WBGene00018385	2
WBGene00020172	2
WBGene00016191	2
WBGene00015939	2
WBGene00008379	2
WBGene00004013	2
WBGene00001645	2
WBGene00017184	2
WBGene00011071	2
WBGene00006490	2
WBGene00017608	2
WBGene00020251	2
WBGene00018869	2
WBGene00014076	2
WBGene00194934	2
WBGene00011258	2
WBGene00011868	2
WBGene00007808	2
WBGene00013921	2
WBGene00021368	2
WBGene00015189	2
WBGene00013042	2
WBGene00011976	2
WBGene00000458	2
WBGene00018392	2
WBGene00000082	2
WBGene00017471	2
WBGene00003800	2
WBGene00017686	2
WBGene00015793	2
WBGene00011538	2
WBGene00009776	2
WBGene00013103	2
WBGene00014243	2
WBGene00020559	2
WBGene00002991	2
WBGene00007718	2
WBGene00021354	2
WBGene00021812	2
WBGene00017574	2
WBGene00022769	2
WBGene00022158	2
WBGene00019347	2
WBGene00014227	2
WBGene00000073	2
WBGene00018307	2
WBGene00018045	2
WBGene00021133	2
WBGene00044604	2
WBGene00012244	2
WBGene00018423	2
WBGene00001844	2
WBGene00004892	2
WBGene00004893	2
WBGene00018735	2
WBGene00022078	2
WBGene00018812	2
WBGene00017064	2
WBGene00015800	2
WBGene00006767	2
